user1_id,choice_type,game_nr,m_points,coopcoop,coopdeflect,deflectcoop,deflectdeflect,user2_id,choice_type2,game2_nr,m_points2,coopcoop2,coopdeflect2,deflectcoop2,deflectdeflect2,ID
2039,Coop,0,88,8,20,-12,-5,2041,Deflect,0,120,8,20,-12,-5,91540
2041,Coop,0,108,8,20,-12,-5,2039,Deflect,0,108,8,20,-12,-5,91541
2039,Coop,0,116,8,20,-12,-5,2041,Coop,0,116,8,20,-12,-5,91542
2041,Deflect,0,136,8,20,-12,-5,2039,Coop,0,104,8,20,-12,-5,91543
2039,Deflect,0,99,8,20,-12,-5,2041,Deflect,0,131,8,20,-12,-5,91544
2041,Coop,0,119,8,20,-12,-5,2039,Deflect,0,119,8,20,-12,-5,91545
2039,Coop,0,107,8,20,-12,-5,2041,Deflect,0,139,8,20,-12,-5,91546
2041,Deflect,0,134,8,20,-12,-5,2039,Deflect,0,102,8,20,-12,-5,91547
2039,Deflect,0,97,8,20,-12,-5,2041,Deflect,0,129,8,20,-12,-5,91548
2041,Coop,0,117,8,20,-12,-5,2039,Deflect,0,117,8,20,-12,-5,91549
2039,Coop,0,105,8,20,-12,-5,2041,Deflect,0,137,8,20,-12,-5,91550
2041,Coop,0,125,8,20,-12,-5,2039,Deflect,0,125,8,20,-12,-5,91551
2039,Coop,0,113,8,20,-12,-5,2041,Deflect,0,145,8,20,-12,-5,91552
2041,Deflect,0,140,8,20,-12,-5,2039,Deflect,0,108,8,20,-12,-5,91553
2039,Deflect,0,128,8,20,-12,-5,2041,Coop,0,128,8,20,-12,-5,91554
2041,Deflect,0,148,8,20,-12,-5,2039,Coop,0,116,8,20,-12,-5,91555
2039,Deflect,0,111,8,20,-12,-5,2041,Deflect,0,143,8,20,-12,-5,91556
2041,Coop,0,131,8,20,-12,-5,2039,Deflect,0,131,8,20,-12,-5,91557
2039,Coop,0,119,8,20,-12,-5,2041,Deflect,0,151,8,20,-12,-5,91558
2041,Deflect,0,146,8,20,-12,-5,2039,Deflect,0,114,8,20,-12,-5,91559
2039,Deflect,0,134,8,20,-12,-5,2041,Coop,0,134,8,20,-12,-5,91560
2041,Coop,0,142,8,20,-12,-5,2039,Coop,0,142,8,20,-12,-5,91561
2039,Coop,0,150,8,20,-12,-5,2041,Coop,0,150,8,20,-12,-5,91562
2041,Deflect,0,170,8,20,-12,-5,2039,Coop,0,138,8,20,-12,-5,91563
2039,Deflect,0,133,8,20,-12,-5,2041,Deflect,0,165,8,20,-12,-5,91564
2041,Coop,0,153,8,20,-12,-5,2039,Deflect,0,153,8,20,-12,-5,91565
2039,Coop,0,141,8,20,-12,-5,2041,Deflect,0,173,8,20,-12,-5,91566
2041,Coop,0,161,8,20,-12,-5,2039,Deflect,0,161,8,20,-12,-5,91567
2039,Coop,0,149,8,20,-12,-5,2041,Deflect,0,181,8,20,-12,-5,91568
2041,Deflect,0,176,8,20,-12,-5,2039,Deflect,0,144,8,20,-12,-5,91569
2039,Deflect,0,164,8,20,-12,-5,2041,Coop,0,164,8,20,-12,-5,91570
2041,Deflect,0,184,8,20,-12,-5,2039,Coop,0,152,8,20,-12,-5,91571
2039,Deflect,0,172,8,20,-12,-5,2041,Coop,0,172,8,20,-12,-5,91572
2041,Deflect,0,192,8,20,-12,-5,2039,Coop,0,160,8,20,-12,-5,91573
2039,Deflect,0,180,8,20,-12,-5,2041,Coop,0,180,8,20,-12,-5,91574
2041,Deflect,0,200,8,20,-12,-5,2039,Coop,0,168,8,20,-12,-5,91575
2039,Deflect,0,188,8,20,-12,-5,2041,Coop,0,188,8,20,-12,-5,91576
2041,Coop,0,196,8,20,-12,-5,2039,Coop,0,196,8,20,-12,-5,91577
2039,Coop,0,204,8,20,-12,-5,2041,Coop,0,204,8,20,-12,-5,91578
2041,Deflect,0,224,8,20,-12,-5,2039,Coop,0,192,8,20,-12,-5,91579
2039,Deflect,0,187,8,20,-12,-5,2041,Deflect,0,219,8,20,-12,-5,91580
2041,Deflect,0,214,8,20,-12,-5,2039,Deflect,0,182,8,20,-12,-5,91581
2039,Deflect,0,202,8,20,-12,-5,2041,Coop,0,202,8,20,-12,-5,91582
2041,Coop,0,210,8,20,-12,-5,2039,Coop,0,210,8,20,-12,-5,91583
2039,Coop,0,218,8,20,-12,-5,2041,Coop,0,218,8,20,-12,-5,91584
2041,Coop,0,226,8,20,-12,-5,2039,Coop,0,226,8,20,-12,-5,91585
2039,Coop,0,234,8,20,-12,-5,2041,Coop,0,234,8,20,-12,-5,91586
2041,Deflect,0,254,8,20,-12,-5,2039,Coop,0,222,8,20,-12,-5,91587
2039,Deflect,0,242,8,20,-12,-5,2041,Coop,0,242,8,20,-12,-5,91588
2041,Deflect,0,262,8,20,-12,-5,2039,Coop,0,230,8,20,-12,-5,91589
2039,Deflect,0,250,8,20,-12,-5,2041,Coop,0,250,8,20,-12,-5,91590
2041,Coop,0,258,8,20,-12,-5,2039,Coop,0,258,8,20,-12,-5,91591
2039,Coop,0,246,8,20,-12,-5,2041,Deflect,0,278,8,20,-12,-5,91592
2041,Deflect,0,273,8,20,-12,-5,2039,Deflect,0,241,8,20,-12,-5,91593
2039,Deflect,0,236,8,20,-12,-5,2041,Deflect,0,268,8,20,-12,-5,91594
2041,Coop,0,256,8,20,-12,-5,2039,Deflect,0,256,8,20,-12,-5,91595
2039,Coop,0,264,8,20,-12,-5,2041,Coop,0,264,8,20,-12,-5,91596
2041,Deflect,0,284,8,20,-12,-5,2039,Coop,0,252,8,20,-12,-5,91597
2039,Deflect,0,247,8,20,-12,-5,2041,Deflect,0,279,8,20,-12,-5,91598
2041,Deflect,0,274,8,20,-12,-5,2039,Deflect,0,242,8,20,-12,-5,91599
2039,Deflect,0,237,8,20,-12,-5,2041,Deflect,0,269,8,20,-12,-5,91600
2041,Deflect,0,264,8,20,-12,-5,2039,Deflect,0,232,8,20,-12,-5,91601
2039,Deflect,0,252,8,20,-12,-5,2041,Coop,0,252,8,20,-12,-5,91602
2041,Deflect,0,272,8,20,-12,-5,2039,Coop,0,240,8,20,-12,-5,91603
2039,Deflect,0,260,8,20,-12,-5,2041,Coop,0,260,8,20,-12,-5,91604
2041,Coop,0,268,8,20,-12,-5,2039,Coop,0,268,8,20,-12,-5,91605
2039,Coop,0,256,8,20,-12,-5,2041,Deflect,0,288,8,20,-12,-5,91606
2041,Deflect,0,283,8,20,-12,-5,2039,Deflect,0,251,8,20,-12,-5,91607
2039,Deflect,0,271,8,20,-12,-5,2041,Coop,0,271,8,20,-12,-5,91608
2041,Deflect,0,291,8,20,-12,-5,2039,Coop,0,259,8,20,-12,-5,91609
2039,Deflect,0,254,8,20,-12,-5,2041,Deflect,0,286,8,20,-12,-5,91610
2041,Coop,0,274,8,20,-12,-5,2039,Deflect,0,274,8,20,-12,-5,91611
2039,Coop,0,262,8,20,-12,-5,2041,Deflect,0,294,8,20,-12,-5,91612
2041,Coop,0,282,8,20,-12,-5,2039,Deflect,0,282,8,20,-12,-5,91613
2039,Coop,0,290,8,20,-12,-5,2041,Coop,0,290,8,20,-12,-5,91614
2041,Deflect,0,310,8,20,-12,-5,2039,Coop,0,278,8,20,-12,-5,91615
2039,Deflect,0,298,8,20,-12,-5,2041,Coop,0,298,8,20,-12,-5,91616
2041,Coop,0,306,8,20,-12,-5,2039,Coop,0,306,8,20,-12,-5,91617
2039,Coop,0,294,8,20,-12,-5,2041,Deflect,0,326,8,20,-12,-5,91618
2041,Deflect,0,321,8,20,-12,-5,2039,Deflect,0,289,8,20,-12,-5,91619
2039,Deflect,0,309,8,20,-12,-5,2041,Coop,0,309,8,20,-12,-5,91620
2041,Coop,0,317,8,20,-12,-5,2039,Coop,0,317,8,20,-12,-5,91621
2039,Coop,0,305,8,20,-12,-5,2041,Deflect,0,337,8,20,-12,-5,91622
2041,Coop,0,325,8,20,-12,-5,2039,Deflect,0,325,8,20,-12,-5,91623
2039,Coop,0,333,8,20,-12,-5,2041,Coop,0,333,8,20,-12,-5,91624
2041,Deflect,0,353,8,20,-12,-5,2039,Coop,0,321,8,20,-12,-5,91625
2039,Deflect,0,316,8,20,-12,-5,2041,Deflect,0,348,8,20,-12,-5,91626
2041,Coop,0,336,8,20,-12,-5,2039,Deflect,0,336,8,20,-12,-5,91627
2039,Coop,0,344,8,20,-12,-5,2041,Coop,0,344,8,20,-12,-5,91628
2041,Coop,0,352,8,20,-12,-5,2039,Coop,0,352,8,20,-12,-5,91629
2039,Coop,0,340,8,20,-12,-5,2041,Deflect,0,372,8,20,-12,-5,91630
2041,Coop,0,360,8,20,-12,-5,2039,Deflect,0,360,8,20,-12,-5,91631
2039,Coop,0,368,8,20,-12,-5,2041,Coop,0,368,8,20,-12,-5,91632
2041,Coop,0,376,8,20,-12,-5,2039,Coop,0,376,8,20,-12,-5,91633
2039,Coop,0,384,8,20,-12,-5,2041,Coop,0,384,8,20,-12,-5,91634
2041,Coop,0,392,8,20,-12,-5,2039,Coop,0,392,8,20,-12,-5,91635
2039,Coop,0,380,8,20,-12,-5,2041,Deflect,0,412,8,20,-12,-5,91636
2041,Deflect,0,407,8,20,-12,-5,2039,Deflect,0,375,8,20,-12,-5,91637
2039,Deflect,0,395,8,20,-12,-5,2041,Coop,0,395,8,20,-12,-5,91638
2041,Deflect,0,415,8,20,-12,-5,2039,Coop,0,383,8,20,-12,-5,91639
2039,Deflect,0,403,8,20,-12,-5,2041,Coop,0,403,8,20,-12,-5,91640
2041,Coop,0,411,8,20,-12,-5,2039,Coop,0,411,8,20,-12,-5,91641
2039,Coop,0,419,8,20,-12,-5,2041,Coop,0,419,8,20,-12,-5,91642
2041,Deflect,0,439,8,20,-12,-5,2039,Coop,0,407,8,20,-12,-5,91643
2039,Deflect,0,402,8,20,-12,-5,2041,Deflect,0,434,8,20,-12,-5,91644
2041,Coop,0,422,8,20,-12,-5,2039,Deflect,0,422,8,20,-12,-5,91645
2039,Coop,0,430,8,20,-12,-5,2041,Coop,0,430,8,20,-12,-5,91646
2041,Coop,0,438,8,20,-12,-5,2039,Coop,0,438,8,20,-12,-5,91647
2039,Coop,0,446,8,20,-12,-5,2041,Coop,0,446,8,20,-12,-5,91648
2041,Deflect,0,466,8,20,-12,-5,2039,Coop,0,434,8,20,-12,-5,91649
