user1_id,choice_type,game_nr,m_points,coopcoop,coopdeflect,deflectcoop,deflectdeflect,user2_id,choice_type2,game2_nr,m_points2,coopcoop2,coopdeflect2,deflectcoop2,deflectdeflect2,ID
2041,Deflect,0,95,8,20,-12,-5,2048,Deflect,0,95,8,20,-12,-5,95749
2048,Coop,0,103,8,20,-12,-5,2041,Coop,0,103,8,20,-12,-5,95750
2041,Coop,0,91,8,20,-12,-5,2048,Deflect,0,123,8,20,-12,-5,95751
2048,Coop,0,131,8,20,-12,-5,2041,Coop,0,99,8,20,-12,-5,95752
2041,Deflect,0,94,8,20,-12,-5,2048,Deflect,0,126,8,20,-12,-5,95753
2048,Coop,0,134,8,20,-12,-5,2041,Coop,0,102,8,20,-12,-5,95754
2041,Coop,0,90,8,20,-12,-5,2048,Deflect,0,154,8,20,-12,-5,95755
2048,Coop,0,142,8,20,-12,-5,2041,Deflect,0,110,8,20,-12,-5,95756
2041,Deflect,0,105,8,20,-12,-5,2048,Deflect,0,137,8,20,-12,-5,95757
2048,Coop,0,125,8,20,-12,-5,2041,Deflect,0,125,8,20,-12,-5,95758
2041,Coop,0,113,8,20,-12,-5,2048,Deflect,0,145,8,20,-12,-5,95759
2048,Coop,0,153,8,20,-12,-5,2041,Coop,0,121,8,20,-12,-5,95760
2041,Coop,0,109,8,20,-12,-5,2048,Deflect,0,173,8,20,-12,-5,95761
2048,Coop,0,181,8,20,-12,-5,2041,Coop,0,117,8,20,-12,-5,95762
2041,Deflect,0,112,8,20,-12,-5,2048,Deflect,0,176,8,20,-12,-5,95763
2048,Coop,0,184,8,20,-12,-5,2041,Coop,0,120,8,20,-12,-5,95764
2041,Deflect,0,115,8,20,-12,-5,2048,Deflect,0,179,8,20,-12,-5,95765
2048,Coop,0,187,8,20,-12,-5,2041,Coop,0,123,8,20,-12,-5,95766
2041,Coop,0,111,8,20,-12,-5,2048,Deflect,0,207,8,20,-12,-5,95767
2048,Coop,0,215,8,20,-12,-5,2041,Coop,0,119,8,20,-12,-5,95768
2041,Deflect,0,114,8,20,-12,-5,2048,Deflect,0,210,8,20,-12,-5,95769
2048,Coop,0,218,8,20,-12,-5,2041,Coop,0,122,8,20,-12,-5,95770
2041,Deflect,0,117,8,20,-12,-5,2048,Deflect,0,213,8,20,-12,-5,95771
2048,Coop,0,201,8,20,-12,-5,2041,Deflect,0,137,8,20,-12,-5,95772
2041,Deflect,0,132,8,20,-12,-5,2048,Deflect,0,196,8,20,-12,-5,95773
2048,Coop,0,204,8,20,-12,-5,2041,Coop,0,140,8,20,-12,-5,95774
2041,Deflect,0,135,8,20,-12,-5,2048,Deflect,0,199,8,20,-12,-5,95775
2048,Coop,0,187,8,20,-12,-5,2041,Deflect,0,155,8,20,-12,-5,95776
2041,Coop,0,143,8,20,-12,-5,2048,Deflect,0,207,8,20,-12,-5,95777
2048,Coop,0,195,8,20,-12,-5,2041,Deflect,0,163,8,20,-12,-5,95778
2041,Coop,0,151,8,20,-12,-5,2048,Deflect,0,215,8,20,-12,-5,95779
2048,Coop,0,203,8,20,-12,-5,2041,Deflect,0,171,8,20,-12,-5,95780
2041,Coop,0,159,8,20,-12,-5,2048,Deflect,0,223,8,20,-12,-5,95781
2048,Coop,0,211,8,20,-12,-5,2041,Deflect,0,179,8,20,-12,-5,95782
2041,Coop,0,167,8,20,-12,-5,2048,Deflect,0,231,8,20,-12,-5,95783
2048,Coop,0,239,8,20,-12,-5,2041,Coop,0,175,8,20,-12,-5,95784
2041,Coop,0,163,8,20,-12,-5,2048,Deflect,0,259,8,20,-12,-5,95785
2048,Coop,0,267,8,20,-12,-5,2041,Coop,0,171,8,20,-12,-5,95786
2041,Deflect,0,166,8,20,-12,-5,2048,Deflect,0,262,8,20,-12,-5,95787
2048,Coop,0,270,8,20,-12,-5,2041,Coop,0,174,8,20,-12,-5,95788
2041,Coop,0,162,8,20,-12,-5,2048,Deflect,0,290,8,20,-12,-5,95789
2048,Coop,0,278,8,20,-12,-5,2041,Deflect,0,182,8,20,-12,-5,95790
2041,Deflect,0,177,8,20,-12,-5,2048,Deflect,0,273,8,20,-12,-5,95791
2048,Coop,0,261,8,20,-12,-5,2041,Deflect,0,197,8,20,-12,-5,95792
2041,Deflect,0,192,8,20,-12,-5,2048,Deflect,0,256,8,20,-12,-5,95793
2048,Coop,0,244,8,20,-12,-5,2041,Deflect,0,212,8,20,-12,-5,95794
2041,Deflect,0,207,8,20,-12,-5,2048,Deflect,0,239,8,20,-12,-5,95795
2048,Coop,0,227,8,20,-12,-5,2041,Deflect,0,227,8,20,-12,-5,95796
2041,Coop,0,215,8,20,-12,-5,2048,Deflect,0,247,8,20,-12,-5,95797
2048,Coop,0,235,8,20,-12,-5,2041,Deflect,0,235,8,20,-12,-5,95798
2041,Coop,0,223,8,20,-12,-5,2048,Deflect,0,255,8,20,-12,-5,95799
2048,Coop,0,263,8,20,-12,-5,2041,Coop,0,231,8,20,-12,-5,95800
2041,Coop,0,219,8,20,-12,-5,2048,Deflect,0,283,8,20,-12,-5,95801
2048,Coop,0,271,8,20,-12,-5,2041,Deflect,0,239,8,20,-12,-5,95802
