user1_id,choice_type,game_nr,m_points,coopcoop,coopdeflect,deflectcoop,deflectdeflect,user2_id,choice_type2,game2_nr,m_points2,coopcoop2,coopdeflect2,deflectcoop2,deflectdeflect2,ID
2041,Deflect,0,120,8,20,-12,-5,2043,Coop,0,88,8,20,-12,-5,92566
2043,Coop,0,96,8,20,-12,-5,2041,Coop,0,128,8,20,-12,-5,92567
2041,Deflect,0,148,8,20,-12,-5,2043,Coop,0,84,8,20,-12,-5,92568
2043,Coop,0,92,8,20,-12,-5,2041,Coop,0,156,8,20,-12,-5,92569
2041,Coop,0,164,8,20,-12,-5,2043,Coop,0,100,8,20,-12,-5,92570
2043,Coop,0,108,8,20,-12,-5,2041,Coop,0,172,8,20,-12,-5,92571
2041,Deflect,0,192,8,20,-12,-5,2043,Coop,0,96,8,20,-12,-5,92572
2043,Coop,0,84,8,20,-12,-5,2041,Deflect,0,212,8,20,-12,-5,92573
2041,Coop,0,220,8,20,-12,-5,2043,Coop,0,92,8,20,-12,-5,92574
2043,Coop,0,80,8,20,-12,-5,2041,Deflect,0,240,8,20,-12,-5,92575
2041,Coop,0,248,8,20,-12,-5,2043,Coop,0,88,8,20,-12,-5,92576
2043,Coop,0,96,8,20,-12,-5,2041,Coop,0,256,8,20,-12,-5,92577
2041,Deflect,0,276,8,20,-12,-5,2043,Coop,0,84,8,20,-12,-5,92578
2043,Coop,0,72,8,20,-12,-5,2041,Deflect,0,296,8,20,-12,-5,92579
2041,Coop,0,304,8,20,-12,-5,2043,Coop,0,80,8,20,-12,-5,92580
2043,Coop,0,88,8,20,-12,-5,2041,Coop,0,312,8,20,-12,-5,92581
2041,Deflect,0,332,8,20,-12,-5,2043,Coop,0,76,8,20,-12,-5,92582
2043,Coop,0,64,8,20,-12,-5,2041,Deflect,0,352,8,20,-12,-5,92583
2041,Deflect,0,372,8,20,-12,-5,2043,Coop,0,52,8,20,-12,-5,92584
2043,Coop,0,40,8,20,-12,-5,2041,Deflect,0,392,8,20,-12,-5,92585
2041,Deflect,0,412,8,20,-12,-5,2043,Coop,0,28,8,20,-12,-5,92586
2043,Coop,0,16,8,20,-12,-5,2041,Deflect,0,432,8,20,-12,-5,92587
2041,Coop,0,440,8,20,-12,-5,2043,Coop,0,24,8,20,-12,-5,92588
2043,Coop,0,12,8,20,-12,-5,2041,Deflect,0,460,8,20,-12,-5,92589
2041,Coop,0,468,8,20,-12,-5,2043,Coop,0,20,8,20,-12,-5,92590
2043,Coop,0,8,8,20,-12,-5,2041,Deflect,0,488,8,20,-12,-5,92591
2041,Coop,0,496,8,20,-12,-5,2043,Coop,0,16,8,20,-12,-5,92592
2043,Coop,0,4,8,20,-12,-5,2041,Deflect,0,516,8,20,-12,-5,92593
2041,Deflect,0,536,8,20,-12,-5,2043,Coop,0,-8,8,20,-12,-5,92594
