user1_id,choice_type,game_nr,m_points,coopcoop,coopdeflect,deflectcoop,deflectdeflect,user2_id,choice_type2,game2_nr,m_points2,coopcoop2,coopdeflect2,deflectcoop2,deflectdeflect2,ID
2045,Coop,0,88,8,20,-12,-5,2048,Deflect,0,120,8,20,-12,-5,109721
2048,Coop,0,128,8,20,-12,-5,2045,Coop,0,96,8,20,-12,-5,109722
2045,Coop,0,84,8,20,-12,-5,2048,Deflect,0,148,8,20,-12,-5,109723
2048,Coop,0,156,8,20,-12,-5,2045,Coop,0,92,8,20,-12,-5,109724
2045,Coop,0,80,8,20,-12,-5,2048,Deflect,0,176,8,20,-12,-5,109725
2048,Coop,0,184,8,20,-12,-5,2045,Coop,0,88,8,20,-12,-5,109726
2045,Coop,0,76,8,20,-12,-5,2048,Deflect,0,204,8,20,-12,-5,109727
2048,Coop,0,212,8,20,-12,-5,2045,Coop,0,84,8,20,-12,-5,109728
2045,Coop,0,72,8,20,-12,-5,2048,Deflect,0,232,8,20,-12,-5,109729
2048,Coop,0,240,8,20,-12,-5,2045,Coop,0,80,8,20,-12,-5,109730
2045,Coop,0,68,8,20,-12,-5,2048,Deflect,0,260,8,20,-12,-5,109731
2048,Coop,0,268,8,20,-12,-5,2045,Coop,0,76,8,20,-12,-5,109732
2045,Coop,0,64,8,20,-12,-5,2048,Deflect,0,288,8,20,-12,-5,109733
2048,Coop,0,296,8,20,-12,-5,2045,Coop,0,72,8,20,-12,-5,109734
2045,Coop,0,60,8,20,-12,-5,2048,Deflect,0,316,8,20,-12,-5,109735
2048,Coop,0,324,8,20,-12,-5,2045,Coop,0,68,8,20,-12,-5,109736
2045,Coop,0,56,8,20,-12,-5,2048,Deflect,0,344,8,20,-12,-5,109737
2048,Coop,0,352,8,20,-12,-5,2045,Coop,0,64,8,20,-12,-5,109738
2045,Coop,0,52,8,20,-12,-5,2048,Deflect,0,372,8,20,-12,-5,109739
2048,Coop,0,380,8,20,-12,-5,2045,Coop,0,60,8,20,-12,-5,109740
2045,Coop,0,48,8,20,-12,-5,2048,Deflect,0,400,8,20,-12,-5,109741
2048,Coop,0,408,8,20,-12,-5,2045,Coop,0,56,8,20,-12,-5,109742
2045,Coop,0,44,8,20,-12,-5,2048,Deflect,0,428,8,20,-12,-5,109743
2048,Coop,0,436,8,20,-12,-5,2045,Coop,0,52,8,20,-12,-5,109744
2045,Coop,0,40,8,20,-12,-5,2048,Deflect,0,456,8,20,-12,-5,109745
2048,Coop,0,464,8,20,-12,-5,2045,Coop,0,48,8,20,-12,-5,109746
2045,Coop,0,36,8,20,-12,-5,2048,Deflect,0,484,8,20,-12,-5,109747
2048,Coop,0,492,8,20,-12,-5,2045,Coop,0,44,8,20,-12,-5,109748
2045,Coop,0,32,8,20,-12,-5,2048,Deflect,0,512,8,20,-12,-5,109749
2048,Coop,0,520,8,20,-12,-5,2045,Coop,0,40,8,20,-12,-5,109750
2045,Coop,0,28,8,20,-12,-5,2048,Deflect,0,540,8,20,-12,-5,109751
2048,Coop,0,548,8,20,-12,-5,2045,Coop,0,36,8,20,-12,-5,109752
2045,Coop,0,24,8,20,-12,-5,2048,Deflect,0,568,8,20,-12,-5,109753
2048,Coop,0,576,8,20,-12,-5,2045,Coop,0,32,8,20,-12,-5,109754
2045,Coop,0,20,8,20,-12,-5,2048,Deflect,0,596,8,20,-12,-5,109755
2048,Coop,0,604,8,20,-12,-5,2045,Coop,0,28,8,20,-12,-5,109756
2048,Buy,0,604,8,20,-12,-5,2048,Buy,0,104,9,21,-11,-4,109757
2045,Coop,0,16,8,20,-12,-5,2048,Deflect,0,125,9,21,-11,-4,109758
2048,Coop,0,134,9,21,-11,-4,2045,Coop,0,24,8,20,-12,-5,109759
2045,Coop,0,12,8,20,-12,-5,2048,Deflect,0,155,9,21,-11,-4,109760
2048,Coop,0,164,9,21,-11,-4,2045,Coop,0,20,8,20,-12,-5,109761
2045,Coop,0,8,8,20,-12,-5,2048,Deflect,0,185,9,21,-11,-4,109762
2048,Coop,0,194,9,21,-11,-4,2045,Coop,0,16,8,20,-12,-5,109763
2045,Coop,0,4,8,20,-12,-5,2048,Deflect,0,215,9,21,-11,-4,109764
2048,Coop,0,224,9,21,-11,-4,2045,Coop,0,12,8,20,-12,-5,109765
2045,Coop,0,0,8,20,-12,-5,2048,Deflect,0,245,9,21,-11,-4,109766
