user1_id,choice_type,game_nr,m_points,coopcoop,coopdeflect,deflectcoop,deflectdeflect,user2_id,choice_type2,game2_nr,m_points2,coopcoop2,coopdeflect2,deflectcoop2,deflectdeflect2,ID
2041,Deflect,0,120,8,20,-12,-5,2045,Coop,0,88,8,20,-12,-5,105586
2045,Coop,0,76,8,20,-12,-5,2041,Deflect,0,140,8,20,-12,-5,105587
2041,Coop,0,128,8,20,-12,-5,2045,Deflect,0,96,8,20,-12,-5,105588
2045,Coop,0,84,8,20,-12,-5,2041,Deflect,0,148,8,20,-12,-5,105589
2041,Deflect,0,168,8,20,-12,-5,2045,Coop,0,72,8,20,-12,-5,105590
2045,Deflect,0,67,8,20,-12,-5,2041,Deflect,0,163,8,20,-12,-5,105591
2041,Coop,0,151,8,20,-12,-5,2045,Deflect,0,87,8,20,-12,-5,105592
2045,Coop,0,95,8,20,-12,-5,2041,Coop,0,159,8,20,-12,-5,105593
2041,Coop,0,167,8,20,-12,-5,2045,Coop,0,103,8,20,-12,-5,105594
2045,Coop,0,91,8,20,-12,-5,2041,Deflect,0,187,8,20,-12,-5,105595
2041,Coop,0,195,8,20,-12,-5,2045,Coop,0,99,8,20,-12,-5,105596
2045,Coop,0,107,8,20,-12,-5,2041,Coop,0,203,8,20,-12,-5,105597
2041,Coop,0,211,8,20,-12,-5,2045,Coop,0,115,8,20,-12,-5,105598
2045,Coop,0,103,8,20,-12,-5,2041,Deflect,0,231,8,20,-12,-5,105599
2041,Coop,0,239,8,20,-12,-5,2045,Coop,0,111,8,20,-12,-5,105600
2045,Coop,0,119,8,20,-12,-5,2041,Coop,0,247,8,20,-12,-5,105601
2041,Deflect,0,267,8,20,-12,-5,2045,Coop,0,107,8,20,-12,-5,105602
2045,Coop,0,95,8,20,-12,-5,2041,Deflect,0,287,8,20,-12,-5,105603
2041,Coop,0,275,8,20,-12,-5,2045,Deflect,0,115,8,20,-12,-5,105604
2045,Coop,0,103,8,20,-12,-5,2041,Deflect,0,295,8,20,-12,-5,105605
2041,Deflect,0,315,8,20,-12,-5,2045,Coop,0,91,8,20,-12,-5,105606
2045,Deflect,0,111,8,20,-12,-5,2041,Coop,0,303,8,20,-12,-5,105607
2041,Coop,0,311,8,20,-12,-5,2045,Coop,0,119,8,20,-12,-5,105608
2045,Coop,0,127,8,20,-12,-5,2041,Coop,0,319,8,20,-12,-5,105609
2041,Coop,0,327,8,20,-12,-5,2045,Coop,0,135,8,20,-12,-5,105610
2045,Coop,0,143,8,20,-12,-5,2041,Coop,0,335,8,20,-12,-5,105611
2041,Deflect,0,355,8,20,-12,-5,2045,Coop,0,131,8,20,-12,-5,105612
2045,Coop,0,119,8,20,-12,-5,2041,Deflect,0,375,8,20,-12,-5,105613
2041,Deflect,0,370,8,20,-12,-5,2045,Deflect,0,114,8,20,-12,-5,105614
2045,Deflect,0,109,8,20,-12,-5,2041,Deflect,0,365,8,20,-12,-5,105615
2041,Deflect,0,360,8,20,-12,-5,2045,Deflect,0,104,8,20,-12,-5,105616
2045,Deflect,0,99,8,20,-12,-5,2041,Deflect,0,355,8,20,-12,-5,105617
2041,Deflect,0,350,8,20,-12,-5,2045,Deflect,0,94,8,20,-12,-5,105618
2045,Deflect,0,89,8,20,-12,-5,2041,Deflect,0,345,8,20,-12,-5,105619
2041,Coop,0,333,8,20,-12,-5,2045,Deflect,0,109,8,20,-12,-5,105620
2045,Coop,0,97,8,20,-12,-5,2041,Deflect,0,353,8,20,-12,-5,105621
2041,Deflect,0,373,8,20,-12,-5,2045,Coop,0,85,8,20,-12,-5,105622
2045,Deflect,0,80,8,20,-12,-5,2041,Deflect,0,368,8,20,-12,-5,105623
2041,Deflect,0,363,8,20,-12,-5,2045,Deflect,0,75,8,20,-12,-5,105624
2045,Deflect,0,95,8,20,-12,-5,2041,Coop,0,351,8,20,-12,-5,105625
2041,Deflect,0,371,8,20,-12,-5,2045,Coop,0,83,8,20,-12,-5,105626
2045,Coop,0,71,8,20,-12,-5,2041,Deflect,0,391,8,20,-12,-5,105627
2041,Coop,0,379,8,20,-12,-5,2045,Deflect,0,91,8,20,-12,-5,105628
2045,Coop,0,79,8,20,-12,-5,2041,Deflect,0,399,8,20,-12,-5,105629
2041,Deflect,0,419,8,20,-12,-5,2045,Coop,0,67,8,20,-12,-5,105630
2045,Deflect,0,87,8,20,-12,-5,2041,Coop,0,407,8,20,-12,-5,105631
2041,Coop,0,415,8,20,-12,-5,2045,Coop,0,95,8,20,-12,-5,105632
2045,Coop,0,103,8,20,-12,-5,2041,Coop,0,423,8,20,-12,-5,105633
2041,Deflect,0,443,8,20,-12,-5,2045,Coop,0,91,8,20,-12,-5,105634
2045,Coop,0,79,8,20,-12,-5,2041,Deflect,0,463,8,20,-12,-5,105635
2041,Coop,0,451,8,20,-12,-5,2045,Deflect,0,99,8,20,-12,-5,105636
2045,Coop,0,107,8,20,-12,-5,2041,Coop,0,459,8,20,-12,-5,105637
2041,Deflect,0,479,8,20,-12,-5,2045,Coop,0,95,8,20,-12,-5,105638
2045,Coop,0,83,8,20,-12,-5,2041,Deflect,0,499,8,20,-12,-5,105639
2041,Coop,0,487,8,20,-12,-5,2045,Deflect,0,103,8,20,-12,-5,105640
2045,Coop,0,91,8,20,-12,-5,2041,Deflect,0,507,8,20,-12,-5,105641
2041,Deflect,0,527,8,20,-12,-5,2045,Coop,0,79,8,20,-12,-5,105642
2045,Deflect,0,99,8,20,-12,-5,2041,Coop,0,515,8,20,-12,-5,105643
