user1_id,choice_type,game_nr,m_points,coopcoop,coopdeflect,deflectcoop,deflectdeflect,user2_id,choice_type2,game2_nr,m_points2,coopcoop2,coopdeflect2,deflectcoop2,deflectdeflect2,ID
2043,Coop,0,108,8,20,-12,-5,2051,Coop,0,108,8,20,-12,-5,100200
2051,Coop,0,116,8,20,-12,-5,2043,Coop,0,116,8,20,-12,-5,100201
2043,Coop,0,124,8,20,-12,-5,2051,Coop,0,124,8,20,-12,-5,100202
2051,Coop,0,132,8,20,-12,-5,2043,Coop,0,132,8,20,-12,-5,100203
2043,Coop,0,140,8,20,-12,-5,2051,Coop,0,140,8,20,-12,-5,100204
2051,Coop,0,148,8,20,-12,-5,2043,Coop,0,148,8,20,-12,-5,100205
2043,Coop,0,156,8,20,-12,-5,2051,Coop,0,156,8,20,-12,-5,100206
2051,Coop,0,164,8,20,-12,-5,2043,Coop,0,164,8,20,-12,-5,100207
2043,Coop,0,172,8,20,-12,-5,2051,Coop,0,172,8,20,-12,-5,100208
2051,Coop,0,180,8,20,-12,-5,2043,Coop,0,180,8,20,-12,-5,100209
2043,Coop,0,188,8,20,-12,-5,2051,Coop,0,188,8,20,-12,-5,100210
2051,Coop,0,196,8,20,-12,-5,2043,Coop,0,196,8,20,-12,-5,100211
2043,Coop,0,204,8,20,-12,-5,2051,Coop,0,204,8,20,-12,-5,100212
2051,Coop,0,212,8,20,-12,-5,2043,Coop,0,212,8,20,-12,-5,100213
2043,Coop,0,220,8,20,-12,-5,2051,Coop,0,220,8,20,-12,-5,100214
2051,Coop,0,228,8,20,-12,-5,2043,Coop,0,228,8,20,-12,-5,100215
2043,Coop,0,236,8,20,-12,-5,2051,Coop,0,236,8,20,-12,-5,100216
2051,Coop,0,244,8,20,-12,-5,2043,Coop,0,244,8,20,-12,-5,100217
2043,Coop,0,252,8,20,-12,-5,2051,Coop,0,252,8,20,-12,-5,100218
2051,Coop,0,260,8,20,-12,-5,2043,Coop,0,260,8,20,-12,-5,100219
2043,Coop,0,268,8,20,-12,-5,2051,Coop,0,268,8,20,-12,-5,100220
2051,Coop,0,276,8,20,-12,-5,2043,Coop,0,276,8,20,-12,-5,100221
2043,Coop,0,284,8,20,-12,-5,2051,Coop,0,284,8,20,-12,-5,100222
2051,Coop,0,292,8,20,-12,-5,2043,Coop,0,292,8,20,-12,-5,100223
2043,Coop,0,300,8,20,-12,-5,2051,Coop,0,300,8,20,-12,-5,100224
2051,Coop,0,308,8,20,-12,-5,2043,Coop,0,308,8,20,-12,-5,100225
2043,Coop,0,316,8,20,-12,-5,2051,Coop,0,316,8,20,-12,-5,100226
2051,Coop,0,324,8,20,-12,-5,2043,Coop,0,324,8,20,-12,-5,100227
2043,Coop,0,332,8,20,-12,-5,2051,Coop,0,332,8,20,-12,-5,100228
2051,Coop,0,340,8,20,-12,-5,2043,Coop,0,340,8,20,-12,-5,100229
2043,Coop,0,348,8,20,-12,-5,2051,Coop,0,348,8,20,-12,-5,100230
