user1_id,choice_type,game_nr,m_points,coopcoop,coopdeflect,deflectcoop,deflectdeflect,user2_id,choice_type2,game2_nr,m_points2,coopcoop2,coopdeflect2,deflectcoop2,deflectdeflect2,ID
2040,Coop,0,108,8,20,-12,-5,2043,Coop,0,108,8,20,-12,-5,89215
2043,Coop,0,116,8,20,-12,-5,2040,Coop,0,116,8,20,-12,-5,89216
2040,Coop,0,124,8,20,-12,-5,2043,Coop,0,124,8,20,-12,-5,89217
2043,Coop,0,132,8,20,-12,-5,2040,Coop,0,132,8,20,-12,-5,89218
2040,Deflect,0,152,8,20,-12,-5,2043,Coop,0,120,8,20,-12,-5,89219
2043,Coop,0,128,8,20,-12,-5,2040,Coop,0,160,8,20,-12,-5,89220
2040,Coop,0,168,8,20,-12,-5,2043,Coop,0,136,8,20,-12,-5,89221
2043,Coop,0,144,8,20,-12,-5,2040,Coop,0,176,8,20,-12,-5,89222
2040,Coop,0,184,8,20,-12,-5,2043,Coop,0,152,8,20,-12,-5,89223
2043,Coop,0,140,8,20,-12,-5,2040,Deflect,0,204,8,20,-12,-5,89224
2040,Coop,0,212,8,20,-12,-5,2043,Coop,0,148,8,20,-12,-5,89225
2043,Coop,0,156,8,20,-12,-5,2040,Coop,0,220,8,20,-12,-5,89226
2040,Coop,0,228,8,20,-12,-5,2043,Coop,0,164,8,20,-12,-5,89227
2043,Coop,0,172,8,20,-12,-5,2040,Coop,0,236,8,20,-12,-5,89228
2040,Deflect,0,256,8,20,-12,-5,2043,Coop,0,160,8,20,-12,-5,89229
2043,Coop,0,168,8,20,-12,-5,2040,Coop,0,264,8,20,-12,-5,89230
2040,Coop,0,272,8,20,-12,-5,2043,Coop,0,176,8,20,-12,-5,89231
2043,Coop,0,184,8,20,-12,-5,2040,Coop,0,280,8,20,-12,-5,89232
2040,Coop,0,288,8,20,-12,-5,2043,Coop,0,192,8,20,-12,-5,89233
2043,Coop,0,180,8,20,-12,-5,2040,Deflect,0,308,8,20,-12,-5,89234
2040,Coop,0,316,8,20,-12,-5,2043,Coop,0,188,8,20,-12,-5,89235
2043,Coop,0,196,8,20,-12,-5,2040,Coop,0,324,8,20,-12,-5,89236
2040,Coop,0,332,8,20,-12,-5,2043,Coop,0,204,8,20,-12,-5,89237
2043,Coop,0,212,8,20,-12,-5,2040,Coop,0,340,8,20,-12,-5,89238
2040,Deflect,0,360,8,20,-12,-5,2043,Coop,0,200,8,20,-12,-5,89239
2043,Coop,0,208,8,20,-12,-5,2040,Coop,0,368,8,20,-12,-5,89240
2040,Coop,0,376,8,20,-12,-5,2043,Coop,0,216,8,20,-12,-5,89241
2043,Coop,0,224,8,20,-12,-5,2040,Coop,0,384,8,20,-12,-5,89242
2040,Coop,0,392,8,20,-12,-5,2043,Coop,0,232,8,20,-12,-5,89243
2043,Coop,0,220,8,20,-12,-5,2040,Deflect,0,412,8,20,-12,-5,89244
2040,Coop,0,420,8,20,-12,-5,2043,Coop,0,228,8,20,-12,-5,89245
2043,Coop,0,236,8,20,-12,-5,2040,Coop,0,428,8,20,-12,-5,89246
2040,Coop,0,436,8,20,-12,-5,2043,Coop,0,244,8,20,-12,-5,89247
