user1_id,choice_type,game_nr,m_points,coopcoop,coopdeflect,deflectcoop,deflectdeflect,user2_id,choice_type2,game2_nr,m_points2,coopcoop2,coopdeflect2,deflectcoop2,deflectdeflect2,ID
2040,Coop,0,108,8,20,-12,-5,2045,Coop,0,108,8,20,-12,-5,90332
2045,Coop,0,116,8,20,-12,-5,2040,Coop,0,116,8,20,-12,-5,90333
2040,Coop,0,124,8,20,-12,-5,2045,Coop,0,124,8,20,-12,-5,90334
2045,Coop,0,132,8,20,-12,-5,2040,Coop,0,132,8,20,-12,-5,90335
2040,Deflect,0,152,8,20,-12,-5,2045,Coop,0,120,8,20,-12,-5,90336
2045,Coop,0,128,8,20,-12,-5,2040,Coop,0,160,8,20,-12,-5,90337
2040,Coop,0,168,8,20,-12,-5,2045,Coop,0,136,8,20,-12,-5,90338
2045,Coop,0,144,8,20,-12,-5,2040,Coop,0,176,8,20,-12,-5,90339
2040,Coop,0,184,8,20,-12,-5,2045,Coop,0,152,8,20,-12,-5,90340
2045,Coop,0,140,8,20,-12,-5,2040,Deflect,0,204,8,20,-12,-5,90341
2040,Coop,0,212,8,20,-12,-5,2045,Coop,0,148,8,20,-12,-5,90342
2045,Coop,0,156,8,20,-12,-5,2040,Coop,0,220,8,20,-12,-5,90343
2040,Coop,0,228,8,20,-12,-5,2045,Coop,0,164,8,20,-12,-5,90344
2045,Coop,0,172,8,20,-12,-5,2040,Coop,0,236,8,20,-12,-5,90345
2040,Deflect,0,256,8,20,-12,-5,2045,Coop,0,160,8,20,-12,-5,90346
2045,Coop,0,168,8,20,-12,-5,2040,Coop,0,264,8,20,-12,-5,90347
2040,Coop,0,272,8,20,-12,-5,2045,Coop,0,176,8,20,-12,-5,90348
2045,Coop,0,184,8,20,-12,-5,2040,Coop,0,280,8,20,-12,-5,90349
2040,Coop,0,288,8,20,-12,-5,2045,Coop,0,192,8,20,-12,-5,90350
2045,Coop,0,180,8,20,-12,-5,2040,Deflect,0,308,8,20,-12,-5,90351
2040,Coop,0,316,8,20,-12,-5,2045,Coop,0,188,8,20,-12,-5,90352
2045,Coop,0,196,8,20,-12,-5,2040,Coop,0,324,8,20,-12,-5,90353
2040,Coop,0,332,8,20,-12,-5,2045,Coop,0,204,8,20,-12,-5,90354
2045,Coop,0,212,8,20,-12,-5,2040,Coop,0,340,8,20,-12,-5,90355
2040,Deflect,0,360,8,20,-12,-5,2045,Coop,0,200,8,20,-12,-5,90356
2045,Coop,0,208,8,20,-12,-5,2040,Coop,0,368,8,20,-12,-5,90357
2040,Coop,0,376,8,20,-12,-5,2045,Coop,0,216,8,20,-12,-5,90358
2045,Coop,0,224,8,20,-12,-5,2040,Coop,0,384,8,20,-12,-5,90359
2040,Coop,0,392,8,20,-12,-5,2045,Coop,0,232,8,20,-12,-5,90360
2045,Coop,0,220,8,20,-12,-5,2040,Deflect,0,412,8,20,-12,-5,90361
2040,Coop,0,420,8,20,-12,-5,2045,Coop,0,228,8,20,-12,-5,90362
2045,Coop,0,236,8,20,-12,-5,2040,Coop,0,428,8,20,-12,-5,90363
2040,Coop,0,436,8,20,-12,-5,2045,Coop,0,244,8,20,-12,-5,90364
2045,Coop,0,252,8,20,-12,-5,2040,Coop,0,444,8,20,-12,-5,90365
2040,Deflect,0,464,8,20,-12,-5,2045,Coop,0,240,8,20,-12,-5,90366
2045,Coop,0,248,8,20,-12,-5,2040,Coop,0,472,8,20,-12,-5,90367
2040,Coop,0,480,8,20,-12,-5,2045,Coop,0,256,8,20,-12,-5,90368
2045,Coop,0,264,8,20,-12,-5,2040,Coop,0,488,8,20,-12,-5,90369
2040,Coop,0,496,8,20,-12,-5,2045,Coop,0,272,8,20,-12,-5,90370
2045,Coop,0,260,8,20,-12,-5,2040,Deflect,0,516,8,20,-12,-5,90371
2040,Coop,0,524,8,20,-12,-5,2045,Coop,0,268,8,20,-12,-5,90372
2045,Coop,0,276,8,20,-12,-5,2040,Coop,0,532,8,20,-12,-5,90373
2040,Coop,0,540,8,20,-12,-5,2045,Coop,0,284,8,20,-12,-5,90374
2045,Coop,0,292,8,20,-12,-5,2040,Coop,0,548,8,20,-12,-5,90375
2040,Deflect,0,568,8,20,-12,-5,2045,Coop,0,280,8,20,-12,-5,90376
