user1_id,choice_type,game_nr,m_points,coopcoop,coopdeflect,deflectcoop,deflectdeflect,user2_id,choice_type2,game2_nr,m_points2,coopcoop2,coopdeflect2,deflectcoop2,deflectdeflect2,ID
2040,Coop,0,88,8,20,-12,-5,2041,Deflect,0,120,8,20,-12,-5,89100
2041,Deflect,0,115,8,20,-12,-5,2040,Deflect,0,83,8,20,-12,-5,89101
2040,Deflect,0,103,8,20,-12,-5,2041,Coop,0,103,8,20,-12,-5,89102
2041,Deflect,0,123,8,20,-12,-5,2040,Coop,0,91,8,20,-12,-5,89103
2040,Deflect,0,86,8,20,-12,-5,2041,Deflect,0,118,8,20,-12,-5,89104
2041,Deflect,0,113,8,20,-12,-5,2040,Deflect,0,81,8,20,-12,-5,89105
2040,Deflect,0,76,8,20,-12,-5,2041,Deflect,0,108,8,20,-12,-5,89106
2041,Coop,0,96,8,20,-12,-5,2040,Deflect,0,96,8,20,-12,-5,89107
2040,Coop,0,84,8,20,-12,-5,2041,Deflect,0,116,8,20,-12,-5,89108
2041,Deflect,0,111,8,20,-12,-5,2040,Deflect,0,79,8,20,-12,-5,89109
2040,Deflect,0,74,8,20,-12,-5,2041,Deflect,0,106,8,20,-12,-5,89110
2041,Deflect,0,101,8,20,-12,-5,2040,Deflect,0,69,8,20,-12,-5,89111
2040,Deflect,0,64,8,20,-12,-5,2041,Deflect,0,96,8,20,-12,-5,89112
2041,Coop,0,84,8,20,-12,-5,2040,Deflect,0,84,8,20,-12,-5,89113
2040,Deflect,0,79,8,20,-12,-5,2041,Deflect,0,79,8,20,-12,-5,89114
2041,Deflect,0,74,8,20,-12,-5,2040,Deflect,0,74,8,20,-12,-5,89115
2040,Deflect,0,69,8,20,-12,-5,2041,Deflect,0,69,8,20,-12,-5,89116
2041,Deflect,0,64,8,20,-12,-5,2040,Deflect,0,64,8,20,-12,-5,89117
2040,Deflect,0,59,8,20,-12,-5,2041,Deflect,0,59,8,20,-12,-5,89118
2041,Coop,0,47,8,20,-12,-5,2040,Deflect,0,79,8,20,-12,-5,89119
2040,Coop,0,87,8,20,-12,-5,2041,Coop,0,55,8,20,-12,-5,89120
2041,Coop,0,63,8,20,-12,-5,2040,Coop,0,95,8,20,-12,-5,89121
2040,Coop,0,103,8,20,-12,-5,2041,Coop,0,71,8,20,-12,-5,89122
2041,Coop,0,79,8,20,-12,-5,2040,Coop,0,111,8,20,-12,-5,89123
2040,Deflect,0,131,8,20,-12,-5,2041,Coop,0,67,8,20,-12,-5,89124
2041,Deflect,0,87,8,20,-12,-5,2040,Coop,0,119,8,20,-12,-5,89125
2040,Deflect,0,114,8,20,-12,-5,2041,Deflect,0,82,8,20,-12,-5,89126
2041,Coop,0,70,8,20,-12,-5,2040,Deflect,0,134,8,20,-12,-5,89127
2040,Coop,0,122,8,20,-12,-5,2041,Deflect,0,90,8,20,-12,-5,89128
2041,Deflect,0,85,8,20,-12,-5,2040,Deflect,0,117,8,20,-12,-5,89129
2040,Deflect,0,137,8,20,-12,-5,2041,Coop,0,73,8,20,-12,-5,89130
2041,Coop,0,81,8,20,-12,-5,2040,Coop,0,145,8,20,-12,-5,89131
2040,Coop,0,133,8,20,-12,-5,2041,Deflect,0,101,8,20,-12,-5,89132
2041,Coop,0,89,8,20,-12,-5,2040,Deflect,0,153,8,20,-12,-5,89133
2040,Deflect,0,148,8,20,-12,-5,2041,Deflect,0,84,8,20,-12,-5,89134
2041,Deflect,0,79,8,20,-12,-5,2040,Deflect,0,143,8,20,-12,-5,89135
2040,Deflect,0,138,8,20,-12,-5,2041,Deflect,0,74,8,20,-12,-5,89136
2041,Deflect,0,69,8,20,-12,-5,2040,Deflect,0,133,8,20,-12,-5,89137
2040,Deflect,0,153,8,20,-12,-5,2041,Coop,0,57,8,20,-12,-5,89138
2041,Deflect,0,52,8,20,-12,-5,2040,Deflect,0,148,8,20,-12,-5,89139
2040,Deflect,0,168,8,20,-12,-5,2041,Coop,0,40,8,20,-12,-5,89140
2041,Deflect,0,60,8,20,-12,-5,2040,Coop,0,156,8,20,-12,-5,89141
2040,Deflect,0,176,8,20,-12,-5,2041,Coop,0,48,8,20,-12,-5,89142
2041,Coop,0,56,8,20,-12,-5,2040,Coop,0,184,8,20,-12,-5,89143
2040,Deflect,0,204,8,20,-12,-5,2041,Coop,0,44,8,20,-12,-5,89144
2041,Deflect,0,64,8,20,-12,-5,2040,Coop,0,192,8,20,-12,-5,89145
2040,Deflect,0,187,8,20,-12,-5,2041,Deflect,0,59,8,20,-12,-5,89146
2041,Deflect,0,54,8,20,-12,-5,2040,Deflect,0,182,8,20,-12,-5,89147
2040,Deflect,0,177,8,20,-12,-5,2041,Deflect,0,49,8,20,-12,-5,89148
2041,Deflect,0,44,8,20,-12,-5,2040,Deflect,0,172,8,20,-12,-5,89149
2040,Deflect,0,192,8,20,-12,-5,2041,Coop,0,32,8,20,-12,-5,89150
2041,Deflect,0,52,8,20,-12,-5,2040,Coop,0,180,8,20,-12,-5,89151
2040,Deflect,0,200,8,20,-12,-5,2041,Coop,0,40,8,20,-12,-5,89152
2041,Deflect,0,60,8,20,-12,-5,2040,Coop,0,188,8,20,-12,-5,89153
2040,Deflect,0,183,8,20,-12,-5,2041,Deflect,0,55,8,20,-12,-5,89154
2041,Deflect,0,50,8,20,-12,-5,2040,Deflect,0,178,8,20,-12,-5,89155
2040,Deflect,0,173,8,20,-12,-5,2041,Deflect,0,45,8,20,-12,-5,89156
2041,Coop,0,33,8,20,-12,-5,2040,Deflect,0,193,8,20,-12,-5,89157
2040,Coop,0,181,8,20,-12,-5,2041,Deflect,0,53,8,20,-12,-5,89158
2041,Deflect,0,48,8,20,-12,-5,2040,Deflect,0,176,8,20,-12,-5,89159
2040,Deflect,0,171,8,20,-12,-5,2041,Deflect,0,43,8,20,-12,-5,89160
2041,Coop,0,31,8,20,-12,-5,2040,Deflect,0,191,8,20,-12,-5,89161
2040,Coop,0,199,8,20,-12,-5,2041,Coop,0,39,8,20,-12,-5,89162
2041,Coop,0,47,8,20,-12,-5,2040,Coop,0,207,8,20,-12,-5,89163
2040,Deflect,0,202,8,20,-12,-5,2041,Deflect,0,42,8,20,-12,-5,89164
2041,Deflect,0,37,8,20,-12,-5,2040,Deflect,0,197,8,20,-12,-5,89165
2040,Deflect,0,192,8,20,-12,-5,2041,Deflect,0,32,8,20,-12,-5,89166
2041,Deflect,0,27,8,20,-12,-5,2040,Deflect,0,187,8,20,-12,-5,89167
2040,Deflect,0,207,8,20,-12,-5,2041,Coop,0,15,8,20,-12,-5,89168
2041,Coop,0,3,8,20,-12,-5,2040,Deflect,0,227,8,20,-12,-5,89169
2040,Coop,0,215,8,20,-12,-5,2041,Deflect,0,23,8,20,-12,-5,89170
2041,Coop,0,11,8,20,-12,-5,2040,Deflect,0,235,8,20,-12,-5,89171
2040,Coop,0,223,8,20,-12,-5,2041,Deflect,0,31,8,20,-12,-5,89172
2041,Deflect,0,26,8,20,-12,-5,2040,Deflect,0,218,8,20,-12,-5,89173
2040,Deflect,0,213,8,20,-12,-5,2041,Deflect,0,21,8,20,-12,-5,89174
2041,Deflect,0,16,8,20,-12,-5,2040,Deflect,0,208,8,20,-12,-5,89175
2040,Deflect,0,203,8,20,-12,-5,2041,Deflect,0,11,8,20,-12,-5,89176
2041,Coop,0,-1,8,20,-12,-5,2040,Deflect,0,223,8,20,-12,-5,89177
