user1_id,choice_type,game_nr,m_points,coopcoop,coopdeflect,deflectcoop,deflectdeflect,user2_id,choice_type2,game2_nr,m_points2,coopcoop2,coopdeflect2,deflectcoop2,deflectdeflect2,ID
2040,Coop,0,108,8,20,-12,-5,2051,Coop,0,108,8,20,-12,-5,91509
2051,Coop,0,116,8,20,-12,-5,2040,Coop,0,116,8,20,-12,-5,91510
2040,Coop,0,124,8,20,-12,-5,2051,Coop,0,124,8,20,-12,-5,91511
2051,Coop,0,132,8,20,-12,-5,2040,Coop,0,132,8,20,-12,-5,91512
2040,Deflect,0,127,8,20,-12,-5,2051,Deflect,0,127,8,20,-12,-5,91513
2051,Deflect,0,122,8,20,-12,-5,2040,Deflect,0,122,8,20,-12,-5,91514
2040,Deflect,0,117,8,20,-12,-5,2051,Deflect,0,117,8,20,-12,-5,91515
2051,Deflect,0,112,8,20,-12,-5,2040,Deflect,0,112,8,20,-12,-5,91516
2040,Deflect,0,107,8,20,-12,-5,2051,Deflect,0,107,8,20,-12,-5,91517
2051,Deflect,0,102,8,20,-12,-5,2040,Deflect,0,102,8,20,-12,-5,91518
2040,Deflect,0,97,8,20,-12,-5,2051,Deflect,0,97,8,20,-12,-5,91519
2051,Deflect,0,92,8,20,-12,-5,2040,Deflect,0,92,8,20,-12,-5,91520
2040,Deflect,0,87,8,20,-12,-5,2051,Deflect,0,87,8,20,-12,-5,91521
2051,Deflect,0,82,8,20,-12,-5,2040,Deflect,0,82,8,20,-12,-5,91522
2040,Deflect,0,77,8,20,-12,-5,2051,Deflect,0,77,8,20,-12,-5,91523
2051,Deflect,0,72,8,20,-12,-5,2040,Deflect,0,72,8,20,-12,-5,91524
2040,Deflect,0,67,8,20,-12,-5,2051,Deflect,0,67,8,20,-12,-5,91525
2051,Deflect,0,62,8,20,-12,-5,2040,Deflect,0,62,8,20,-12,-5,91526
2040,Deflect,0,57,8,20,-12,-5,2051,Deflect,0,57,8,20,-12,-5,91527
2051,Deflect,0,52,8,20,-12,-5,2040,Deflect,0,52,8,20,-12,-5,91528
2040,Deflect,0,47,8,20,-12,-5,2051,Deflect,0,47,8,20,-12,-5,91529
2051,Deflect,0,42,8,20,-12,-5,2040,Deflect,0,42,8,20,-12,-5,91530
2040,Deflect,0,37,8,20,-12,-5,2051,Deflect,0,37,8,20,-12,-5,91531
2051,Deflect,0,32,8,20,-12,-5,2040,Deflect,0,32,8,20,-12,-5,91532
2040,Deflect,0,27,8,20,-12,-5,2051,Deflect,0,27,8,20,-12,-5,91533
2051,Deflect,0,22,8,20,-12,-5,2040,Deflect,0,22,8,20,-12,-5,91534
2040,Deflect,0,17,8,20,-12,-5,2051,Deflect,0,17,8,20,-12,-5,91535
2051,Deflect,0,12,8,20,-12,-5,2040,Deflect,0,12,8,20,-12,-5,91536
2040,Deflect,0,7,8,20,-12,-5,2051,Deflect,0,7,8,20,-12,-5,91537
2051,Deflect,0,2,8,20,-12,-5,2040,Deflect,0,2,8,20,-12,-5,91538
2040,Deflect,0,-3,8,20,-12,-5,2051,Deflect,0,-3,8,20,-12,-5,91539
