user1_id,choice_type,game_nr,m_points,coopcoop,coopdeflect,deflectcoop,deflectdeflect,user2_id,choice_type2,game2_nr,m_points2,coopcoop2,coopdeflect2,deflectcoop2,deflectdeflect2,ID
2039,Coop,0,108,8,20,-12,-5,2047,Coop,0,108,8,20,-12,-5,80039
2047,Coop,0,116,8,20,-12,-5,2039,Coop,0,116,8,20,-12,-5,80040
2039,Coop,0,124,8,20,-12,-5,2047,Coop,0,124,8,20,-12,-5,80041
2047,Coop,0,132,8,20,-12,-5,2039,Coop,0,132,8,20,-12,-5,80042
2039,Coop,0,140,8,20,-12,-5,2047,Coop,0,140,8,20,-12,-5,80043
2047,Coop,0,148,8,20,-12,-5,2039,Coop,0,148,8,20,-12,-5,80044
2039,Coop,0,156,8,20,-12,-5,2047,Coop,0,156,8,20,-12,-5,80045
2047,Coop,0,164,8,20,-12,-5,2039,Coop,0,164,8,20,-12,-5,80046
2039,Coop,0,172,8,20,-12,-5,2047,Coop,0,172,8,20,-12,-5,80047
2047,Coop,0,180,8,20,-12,-5,2039,Coop,0,180,8,20,-12,-5,80048
2039,Coop,0,188,8,20,-12,-5,2047,Coop,0,188,8,20,-12,-5,80049
2047,Coop,0,196,8,20,-12,-5,2039,Coop,0,196,8,20,-12,-5,80050
2039,Coop,0,204,8,20,-12,-5,2047,Coop,0,204,8,20,-12,-5,80051
2047,Coop,0,212,8,20,-12,-5,2039,Coop,0,212,8,20,-12,-5,80052
2039,Coop,0,220,8,20,-12,-5,2047,Coop,0,220,8,20,-12,-5,80053
2047,Coop,0,228,8,20,-12,-5,2039,Coop,0,228,8,20,-12,-5,80054
2039,Coop,0,236,8,20,-12,-5,2047,Coop,0,236,8,20,-12,-5,80055
2047,Coop,0,244,8,20,-12,-5,2039,Coop,0,244,8,20,-12,-5,80056
2039,Coop,0,252,8,20,-12,-5,2047,Coop,0,252,8,20,-12,-5,80057
2047,Coop,0,260,8,20,-12,-5,2039,Coop,0,260,8,20,-12,-5,80058
2039,Coop,0,268,8,20,-12,-5,2047,Coop,0,268,8,20,-12,-5,80059
2047,Coop,0,276,8,20,-12,-5,2039,Coop,0,276,8,20,-12,-5,80060
2039,Coop,0,284,8,20,-12,-5,2047,Coop,0,284,8,20,-12,-5,80061
2047,Coop,0,292,8,20,-12,-5,2039,Coop,0,292,8,20,-12,-5,80062
2039,Coop,0,300,8,20,-12,-5,2047,Coop,0,300,8,20,-12,-5,80063
2047,Coop,0,308,8,20,-12,-5,2039,Coop,0,308,8,20,-12,-5,80064
2039,Coop,0,316,8,20,-12,-5,2047,Coop,0,316,8,20,-12,-5,80065
2047,Coop,0,324,8,20,-12,-5,2039,Coop,0,324,8,20,-12,-5,80066
2039,Coop,0,332,8,20,-12,-5,2047,Coop,0,332,8,20,-12,-5,80067
2047,Coop,0,340,8,20,-12,-5,2039,Coop,0,340,8,20,-12,-5,80068
2039,Coop,0,348,8,20,-12,-5,2047,Coop,0,348,8,20,-12,-5,80069
2047,Coop,0,356,8,20,-12,-5,2039,Coop,0,356,8,20,-12,-5,80070
2039,Coop,0,364,8,20,-12,-5,2047,Coop,0,364,8,20,-12,-5,80071
2047,Coop,0,372,8,20,-12,-5,2039,Coop,0,372,8,20,-12,-5,80072
2039,Coop,0,380,8,20,-12,-5,2047,Coop,0,380,8,20,-12,-5,80073
2047,Coop,0,388,8,20,-12,-5,2039,Coop,0,388,8,20,-12,-5,80074
2039,Coop,0,396,8,20,-12,-5,2047,Coop,0,396,8,20,-12,-5,80075
2047,Coop,0,404,8,20,-12,-5,2039,Coop,0,404,8,20,-12,-5,80076
2039,Coop,0,412,8,20,-12,-5,2047,Coop,0,412,8,20,-12,-5,80077
2047,Coop,0,420,8,20,-12,-5,2039,Coop,0,420,8,20,-12,-5,80078
2039,Coop,0,428,8,20,-12,-5,2047,Coop,0,428,8,20,-12,-5,80079
2047,Coop,0,436,8,20,-12,-5,2039,Coop,0,436,8,20,-12,-5,80080
2039,Coop,0,444,8,20,-12,-5,2047,Coop,0,444,8,20,-12,-5,80081
2047,Coop,0,452,8,20,-12,-5,2039,Coop,0,452,8,20,-12,-5,80082
2039,Coop,0,460,8,20,-12,-5,2047,Coop,0,460,8,20,-12,-5,80083
2047,Coop,0,468,8,20,-12,-5,2039,Coop,0,468,8,20,-12,-5,80084
2039,Coop,0,476,8,20,-12,-5,2047,Coop,0,476,8,20,-12,-5,80085
2047,Coop,0,484,8,20,-12,-5,2039,Coop,0,484,8,20,-12,-5,80086
2039,Coop,0,492,8,20,-12,-5,2047,Coop,0,492,8,20,-12,-5,80087
2047,Coop,0,500,8,20,-12,-5,2039,Coop,0,500,8,20,-12,-5,80088
2039,Coop,0,508,8,20,-12,-5,2047,Coop,0,508,8,20,-12,-5,80089
2047,Coop,0,516,8,20,-12,-5,2039,Coop,0,516,8,20,-12,-5,80090
2039,Coop,0,524,8,20,-12,-5,2047,Coop,0,524,8,20,-12,-5,80091
2047,Coop,0,532,8,20,-12,-5,2039,Coop,0,532,8,20,-12,-5,80092
2039,Coop,0,540,8,20,-12,-5,2047,Coop,0,540,8,20,-12,-5,80093
2047,Coop,0,548,8,20,-12,-5,2039,Coop,0,548,8,20,-12,-5,80094
2039,Coop,0,556,8,20,-12,-5,2047,Coop,0,556,8,20,-12,-5,80095
2047,Coop,0,564,8,20,-12,-5,2039,Coop,0,564,8,20,-12,-5,80096
2039,Coop,0,572,8,20,-12,-5,2047,Coop,0,572,8,20,-12,-5,80097
2047,Coop,0,580,8,20,-12,-5,2039,Coop,0,580,8,20,-12,-5,80098
2039,Coop,0,588,8,20,-12,-5,2047,Coop,0,588,8,20,-12,-5,80099
2047,Coop,0,596,8,20,-12,-5,2039,Coop,0,596,8,20,-12,-5,80100
2039,Coop,0,604,8,20,-12,-5,2047,Coop,0,604,8,20,-12,-5,80101
2047,Buy,0,604,8,20,-12,-5,2047,Buy,0,104,9,21,-11,-4,80102
2047,Coop,0,113,9,21,-11,-4,2039,Coop,0,612,8,20,-12,-5,80103
2039,Coop,0,620,8,20,-12,-5,2047,Coop,0,122,9,21,-11,-4,80104
2047,Coop,0,131,9,21,-11,-4,2039,Coop,0,628,8,20,-12,-5,80105
2039,Coop,0,636,8,20,-12,-5,2047,Coop,0,140,9,21,-11,-4,80106
2047,Coop,0,149,9,21,-11,-4,2039,Coop,0,644,8,20,-12,-5,80107
2039,Coop,0,652,8,20,-12,-5,2047,Coop,0,158,9,21,-11,-4,80108
2047,Coop,0,167,9,21,-11,-4,2039,Coop,0,660,8,20,-12,-5,80109
2039,Coop,0,668,8,20,-12,-5,2047,Coop,0,176,9,21,-11,-4,80110
2047,Coop,0,185,9,21,-11,-4,2039,Coop,0,676,8,20,-12,-5,80111
2039,Coop,0,684,8,20,-12,-5,2047,Coop,0,194,9,21,-11,-4,80112
2047,Coop,0,203,9,21,-11,-4,2039,Coop,0,692,8,20,-12,-5,80113
2039,Coop,0,700,8,20,-12,-5,2047,Coop,0,212,9,21,-11,-4,80114
2047,Coop,0,221,9,21,-11,-4,2039,Coop,0,708,8,20,-12,-5,80115
2039,Coop,0,716,8,20,-12,-5,2047,Coop,0,230,9,21,-11,-4,80116
2047,Coop,0,239,9,21,-11,-4,2039,Coop,0,724,8,20,-12,-5,80117
2039,Coop,0,732,8,20,-12,-5,2047,Coop,0,248,9,21,-11,-4,80118
2047,Coop,0,257,9,21,-11,-4,2039,Coop,0,740,8,20,-12,-5,80119
2039,Coop,0,748,8,20,-12,-5,2047,Coop,0,266,9,21,-11,-4,80120
2047,Coop,0,275,9,21,-11,-4,2039,Coop,0,756,8,20,-12,-5,80121
2039,Coop,0,764,8,20,-12,-5,2047,Coop,0,284,9,21,-11,-4,80122
2047,Coop,0,293,9,21,-11,-4,2039,Coop,0,772,8,20,-12,-5,80123
2039,Coop,0,780,8,20,-12,-5,2047,Coop,0,302,9,21,-11,-4,80124
2047,Coop,0,311,9,21,-11,-4,2039,Coop,0,788,8,20,-12,-5,80125
2039,Coop,0,796,8,20,-12,-5,2047,Coop,0,320,9,21,-11,-4,80126
2047,Coop,0,329,9,21,-11,-4,2039,Coop,0,804,8,20,-12,-5,80127
2039,Coop,0,812,8,20,-12,-5,2047,Coop,0,338,9,21,-11,-4,80128
2047,Coop,0,347,9,21,-11,-4,2039,Coop,0,820,8,20,-12,-5,80129
2039,Coop,0,828,8,20,-12,-5,2047,Coop,0,356,9,21,-11,-4,80130
2047,Coop,0,365,9,21,-11,-4,2039,Coop,0,836,8,20,-12,-5,80131
