user1_id,choice_type,game_nr,m_points,coopcoop,coopdeflect,deflectcoop,deflectdeflect,user2_id,choice_type2,game2_nr,m_points2,coopcoop2,coopdeflect2,deflectcoop2,deflectdeflect2,ID
2039,Coop,0,88,8,20,-12,-5,2041,Deflect,0,120,8,20,-12,-5,81066
2041,Deflect,0,115,8,20,-12,-5,2039,Deflect,0,83,8,20,-12,-5,81067
2039,Deflect,0,103,8,20,-12,-5,2041,Coop,0,103,8,20,-12,-5,81068
2041,Deflect,0,123,8,20,-12,-5,2039,Coop,0,91,8,20,-12,-5,81069
2039,Deflect,0,111,8,20,-12,-5,2041,Coop,0,111,8,20,-12,-5,81070
2041,Coop,0,119,8,20,-12,-5,2039,Coop,0,119,8,20,-12,-5,81071
2039,Coop,0,107,8,20,-12,-5,2041,Deflect,0,139,8,20,-12,-5,81072
2041,Coop,0,127,8,20,-12,-5,2039,Deflect,0,127,8,20,-12,-5,81073
2039,Coop,0,115,8,20,-12,-5,2041,Deflect,0,147,8,20,-12,-5,81074
2041,Coop,0,135,8,20,-12,-5,2039,Deflect,0,135,8,20,-12,-5,81075
2039,Coop,0,123,8,20,-12,-5,2041,Deflect,0,155,8,20,-12,-5,81076
2041,Deflect,0,150,8,20,-12,-5,2039,Deflect,0,118,8,20,-12,-5,81077
2039,Deflect,0,113,8,20,-12,-5,2041,Deflect,0,145,8,20,-12,-5,81078
2041,Deflect,0,140,8,20,-12,-5,2039,Deflect,0,108,8,20,-12,-5,81079
2039,Deflect,0,128,8,20,-12,-5,2041,Coop,0,128,8,20,-12,-5,81080
2041,Deflect,0,148,8,20,-12,-5,2039,Coop,0,116,8,20,-12,-5,81081
2039,Deflect,0,136,8,20,-12,-5,2041,Coop,0,136,8,20,-12,-5,81082
2041,Deflect,0,156,8,20,-12,-5,2039,Coop,0,124,8,20,-12,-5,81083
2039,Deflect,0,119,8,20,-12,-5,2041,Deflect,0,151,8,20,-12,-5,81084
