user1_id,choice_type,game_nr,m_points,coopcoop,coopdeflect,deflectcoop,deflectdeflect,user2_id,choice_type2,game2_nr,m_points2,coopcoop2,coopdeflect2,deflectcoop2,deflectdeflect2,ID
2046,Deflect,0,95,8,20,-12,-5,2048,Deflect,0,95,8,20,-12,-5,119483
2048,Coop,0,103,8,20,-12,-5,2046,Coop,0,103,8,20,-12,-5,119484
2046,Coop,0,91,8,20,-12,-5,2048,Deflect,0,123,8,20,-12,-5,119485
2048,Coop,0,111,8,20,-12,-5,2046,Deflect,0,111,8,20,-12,-5,119486
2046,Deflect,0,106,8,20,-12,-5,2048,Deflect,0,106,8,20,-12,-5,119487
2048,Coop,0,94,8,20,-12,-5,2046,Deflect,0,126,8,20,-12,-5,119488
2046,Deflect,0,121,8,20,-12,-5,2048,Deflect,0,89,8,20,-12,-5,119489
2048,Coop,0,77,8,20,-12,-5,2046,Deflect,0,141,8,20,-12,-5,119490
2046,Deflect,0,136,8,20,-12,-5,2048,Deflect,0,72,8,20,-12,-5,119491
2048,Coop,0,60,8,20,-12,-5,2046,Deflect,0,156,8,20,-12,-5,119492
2046,Deflect,0,151,8,20,-12,-5,2048,Deflect,0,55,8,20,-12,-5,119493
2048,Coop,0,43,8,20,-12,-5,2046,Deflect,0,171,8,20,-12,-5,119494
2046,Deflect,0,166,8,20,-12,-5,2048,Deflect,0,38,8,20,-12,-5,119495
2048,Coop,0,26,8,20,-12,-5,2046,Deflect,0,186,8,20,-12,-5,119496
2046,Deflect,0,181,8,20,-12,-5,2048,Deflect,0,21,8,20,-12,-5,119497
2048,Coop,0,9,8,20,-12,-5,2046,Deflect,0,201,8,20,-12,-5,119498
2046,Deflect,0,196,8,20,-12,-5,2048,Deflect,0,4,8,20,-12,-5,119499
2048,Coop,0,-8,8,20,-12,-5,2046,Deflect,0,216,8,20,-12,-5,119500
