user1_id,choice_type,game_nr,m_points,coopcoop,coopdeflect,deflectcoop,deflectdeflect,user2_id,choice_type2,game2_nr,m_points2,coopcoop2,coopdeflect2,deflectcoop2,deflectdeflect2,ID
2045,Coop,0,88,8,20,-12,-5,2048,Deflect,0,120,8,20,-12,-5,119438
2048,Coop,0,128,8,20,-12,-5,2045,Coop,0,96,8,20,-12,-5,119439
2045,Coop,0,84,8,20,-12,-5,2048,Deflect,0,148,8,20,-12,-5,119440
2048,Coop,0,156,8,20,-12,-5,2045,Coop,0,92,8,20,-12,-5,119441
2045,Coop,0,80,8,20,-12,-5,2048,Deflect,0,176,8,20,-12,-5,119442
2048,Coop,0,184,8,20,-12,-5,2045,Coop,0,88,8,20,-12,-5,119443
2045,Coop,0,76,8,20,-12,-5,2048,Deflect,0,204,8,20,-12,-5,119444
2048,Coop,0,212,8,20,-12,-5,2045,Coop,0,84,8,20,-12,-5,119445
2045,Coop,0,72,8,20,-12,-5,2048,Deflect,0,232,8,20,-12,-5,119446
2048,Coop,0,240,8,20,-12,-5,2045,Coop,0,80,8,20,-12,-5,119447
2045,Coop,0,68,8,20,-12,-5,2048,Deflect,0,260,8,20,-12,-5,119448
2048,Coop,0,268,8,20,-12,-5,2045,Coop,0,76,8,20,-12,-5,119449
2045,Coop,0,64,8,20,-12,-5,2048,Deflect,0,288,8,20,-12,-5,119450
2048,Coop,0,296,8,20,-12,-5,2045,Coop,0,72,8,20,-12,-5,119451
2045,Coop,0,60,8,20,-12,-5,2048,Deflect,0,316,8,20,-12,-5,119452
2048,Coop,0,324,8,20,-12,-5,2045,Coop,0,68,8,20,-12,-5,119453
2045,Coop,0,56,8,20,-12,-5,2048,Deflect,0,344,8,20,-12,-5,119454
2048,Coop,0,352,8,20,-12,-5,2045,Coop,0,64,8,20,-12,-5,119455
2045,Coop,0,52,8,20,-12,-5,2048,Deflect,0,372,8,20,-12,-5,119456
2048,Coop,0,380,8,20,-12,-5,2045,Coop,0,60,8,20,-12,-5,119457
2045,Coop,0,48,8,20,-12,-5,2048,Deflect,0,400,8,20,-12,-5,119458
2048,Coop,0,408,8,20,-12,-5,2045,Coop,0,56,8,20,-12,-5,119459
2045,Coop,0,44,8,20,-12,-5,2048,Deflect,0,428,8,20,-12,-5,119460
2048,Coop,0,436,8,20,-12,-5,2045,Coop,0,52,8,20,-12,-5,119461
2045,Coop,0,40,8,20,-12,-5,2048,Deflect,0,456,8,20,-12,-5,119462
2048,Coop,0,464,8,20,-12,-5,2045,Coop,0,48,8,20,-12,-5,119463
2045,Coop,0,36,8,20,-12,-5,2048,Deflect,0,484,8,20,-12,-5,119464
2048,Coop,0,492,8,20,-12,-5,2045,Coop,0,44,8,20,-12,-5,119465
2045,Coop,0,32,8,20,-12,-5,2048,Deflect,0,512,8,20,-12,-5,119466
2048,Coop,0,520,8,20,-12,-5,2045,Coop,0,40,8,20,-12,-5,119467
2045,Coop,0,28,8,20,-12,-5,2048,Deflect,0,540,8,20,-12,-5,119468
2048,Coop,0,548,8,20,-12,-5,2045,Coop,0,36,8,20,-12,-5,119469
2045,Coop,0,24,8,20,-12,-5,2048,Deflect,0,568,8,20,-12,-5,119470
2048,Coop,0,576,8,20,-12,-5,2045,Coop,0,32,8,20,-12,-5,119471
2045,Coop,0,20,8,20,-12,-5,2048,Deflect,0,596,8,20,-12,-5,119472
2048,Coop,0,604,8,20,-12,-5,2045,Coop,0,28,8,20,-12,-5,119473
2045,Coop,0,16,8,20,-12,-5,2048,Deflect,0,624,8,20,-12,-5,119474
2048,Coop,0,632,8,20,-12,-5,2045,Coop,0,24,8,20,-12,-5,119475
2045,Coop,0,12,8,20,-12,-5,2048,Deflect,0,652,8,20,-12,-5,119476
2048,Coop,0,660,8,20,-12,-5,2045,Coop,0,20,8,20,-12,-5,119477
2045,Coop,0,8,8,20,-12,-5,2048,Deflect,0,680,8,20,-12,-5,119478
2048,Coop,0,688,8,20,-12,-5,2045,Coop,0,16,8,20,-12,-5,119479
2045,Coop,0,4,8,20,-12,-5,2048,Deflect,0,708,8,20,-12,-5,119480
2048,Coop,0,716,8,20,-12,-5,2045,Coop,0,12,8,20,-12,-5,119481
2045,Coop,0,0,8,20,-12,-5,2048,Deflect,0,736,8,20,-12,-5,119482
