user1_id,choice_type,game_nr,m_points,coopcoop,coopdeflect,deflectcoop,deflectdeflect,user2_id,choice_type2,game2_nr,m_points2,coopcoop2,coopdeflect2,deflectcoop2,deflectdeflect2,ID
2043,Coop,0,88,8,20,-12,-5,2048,Deflect,0,120,8,20,-12,-5,119393
2048,Coop,0,128,8,20,-12,-5,2043,Coop,0,96,8,20,-12,-5,119394
2043,Coop,0,84,8,20,-12,-5,2048,Deflect,0,148,8,20,-12,-5,119395
2048,Coop,0,156,8,20,-12,-5,2043,Coop,0,92,8,20,-12,-5,119396
2043,Coop,0,80,8,20,-12,-5,2048,Deflect,0,176,8,20,-12,-5,119397
2048,Coop,0,184,8,20,-12,-5,2043,Coop,0,88,8,20,-12,-5,119398
2043,Coop,0,76,8,20,-12,-5,2048,Deflect,0,204,8,20,-12,-5,119399
2048,Coop,0,212,8,20,-12,-5,2043,Coop,0,84,8,20,-12,-5,119400
2043,Coop,0,72,8,20,-12,-5,2048,Deflect,0,232,8,20,-12,-5,119401
2048,Coop,0,240,8,20,-12,-5,2043,Coop,0,80,8,20,-12,-5,119402
2043,Coop,0,68,8,20,-12,-5,2048,Deflect,0,260,8,20,-12,-5,119403
2048,Coop,0,268,8,20,-12,-5,2043,Coop,0,76,8,20,-12,-5,119404
2043,Coop,0,64,8,20,-12,-5,2048,Deflect,0,288,8,20,-12,-5,119405
2048,Coop,0,296,8,20,-12,-5,2043,Coop,0,72,8,20,-12,-5,119406
2043,Coop,0,60,8,20,-12,-5,2048,Deflect,0,316,8,20,-12,-5,119407
2048,Coop,0,324,8,20,-12,-5,2043,Coop,0,68,8,20,-12,-5,119408
2043,Coop,0,56,8,20,-12,-5,2048,Deflect,0,344,8,20,-12,-5,119409
2048,Coop,0,352,8,20,-12,-5,2043,Coop,0,64,8,20,-12,-5,119410
2043,Coop,0,52,8,20,-12,-5,2048,Deflect,0,372,8,20,-12,-5,119411
2048,Coop,0,380,8,20,-12,-5,2043,Coop,0,60,8,20,-12,-5,119412
2043,Coop,0,48,8,20,-12,-5,2048,Deflect,0,400,8,20,-12,-5,119413
2048,Coop,0,408,8,20,-12,-5,2043,Coop,0,56,8,20,-12,-5,119414
2043,Coop,0,44,8,20,-12,-5,2048,Deflect,0,428,8,20,-12,-5,119415
2048,Coop,0,436,8,20,-12,-5,2043,Coop,0,52,8,20,-12,-5,119416
2043,Coop,0,40,8,20,-12,-5,2048,Deflect,0,456,8,20,-12,-5,119417
2048,Coop,0,464,8,20,-12,-5,2043,Coop,0,48,8,20,-12,-5,119418
2043,Coop,0,36,8,20,-12,-5,2048,Deflect,0,484,8,20,-12,-5,119419
2048,Coop,0,492,8,20,-12,-5,2043,Coop,0,44,8,20,-12,-5,119420
2043,Coop,0,32,8,20,-12,-5,2048,Deflect,0,512,8,20,-12,-5,119421
2048,Coop,0,520,8,20,-12,-5,2043,Coop,0,40,8,20,-12,-5,119422
2043,Coop,0,28,8,20,-12,-5,2048,Deflect,0,540,8,20,-12,-5,119423
2048,Coop,0,548,8,20,-12,-5,2043,Coop,0,36,8,20,-12,-5,119424
2043,Coop,0,24,8,20,-12,-5,2048,Deflect,0,568,8,20,-12,-5,119425
2048,Coop,0,576,8,20,-12,-5,2043,Coop,0,32,8,20,-12,-5,119426
2043,Coop,0,20,8,20,-12,-5,2048,Deflect,0,596,8,20,-12,-5,119427
2048,Coop,0,604,8,20,-12,-5,2043,Coop,0,28,8,20,-12,-5,119428
2043,Coop,0,16,8,20,-12,-5,2048,Deflect,0,624,8,20,-12,-5,119429
2048,Coop,0,632,8,20,-12,-5,2043,Coop,0,24,8,20,-12,-5,119430
2043,Coop,0,12,8,20,-12,-5,2048,Deflect,0,652,8,20,-12,-5,119431
2048,Coop,0,660,8,20,-12,-5,2043,Coop,0,20,8,20,-12,-5,119432
2043,Coop,0,8,8,20,-12,-5,2048,Deflect,0,680,8,20,-12,-5,119433
2048,Coop,0,688,8,20,-12,-5,2043,Coop,0,16,8,20,-12,-5,119434
2043,Coop,0,4,8,20,-12,-5,2048,Deflect,0,708,8,20,-12,-5,119435
2048,Coop,0,716,8,20,-12,-5,2043,Coop,0,12,8,20,-12,-5,119436
2043,Coop,0,0,8,20,-12,-5,2048,Deflect,0,736,8,20,-12,-5,119437
