user1_id,choice_type,game_nr,m_points,coopcoop,coopdeflect,deflectcoop,deflectdeflect,user2_id,choice_type2,game2_nr,m_points2,coopcoop2,coopdeflect2,deflectcoop2,deflectdeflect2,ID
2048,Deflect,0,95,8,20,-12,-5,2051,Deflect,0,95,8,20,-12,-5,116230
2051,Coop,0,103,8,20,-12,-5,2048,Coop,0,103,8,20,-12,-5,116231
2048,Deflect,0,98,8,20,-12,-5,2051,Deflect,0,98,8,20,-12,-5,116232
2051,Coop,0,106,8,20,-12,-5,2048,Coop,0,106,8,20,-12,-5,116233
2048,Deflect,0,101,8,20,-12,-5,2051,Deflect,0,101,8,20,-12,-5,116234
2051,Coop,0,109,8,20,-12,-5,2048,Coop,0,109,8,20,-12,-5,116235
2048,Deflect,0,104,8,20,-12,-5,2051,Deflect,0,104,8,20,-12,-5,116236
2051,Coop,0,112,8,20,-12,-5,2048,Coop,0,112,8,20,-12,-5,116237
2048,Deflect,0,107,8,20,-12,-5,2051,Deflect,0,107,8,20,-12,-5,116238
2051,Coop,0,115,8,20,-12,-5,2048,Coop,0,115,8,20,-12,-5,116239
2048,Deflect,0,110,8,20,-12,-5,2051,Deflect,0,110,8,20,-12,-5,116240
2051,Coop,0,118,8,20,-12,-5,2048,Coop,0,118,8,20,-12,-5,116241
2048,Deflect,0,113,8,20,-12,-5,2051,Deflect,0,113,8,20,-12,-5,116242
2051,Coop,0,121,8,20,-12,-5,2048,Coop,0,121,8,20,-12,-5,116243
2048,Deflect,0,116,8,20,-12,-5,2051,Deflect,0,116,8,20,-12,-5,116244
2051,Coop,0,124,8,20,-12,-5,2048,Coop,0,124,8,20,-12,-5,116245
2048,Deflect,0,119,8,20,-12,-5,2051,Deflect,0,119,8,20,-12,-5,116246
2051,Coop,0,127,8,20,-12,-5,2048,Coop,0,127,8,20,-12,-5,116247
2048,Deflect,0,122,8,20,-12,-5,2051,Deflect,0,122,8,20,-12,-5,116248
2051,Coop,0,130,8,20,-12,-5,2048,Coop,0,130,8,20,-12,-5,116249
2048,Deflect,0,125,8,20,-12,-5,2051,Deflect,0,125,8,20,-12,-5,116250
2051,Coop,0,133,8,20,-12,-5,2048,Coop,0,133,8,20,-12,-5,116251
2048,Deflect,0,128,8,20,-12,-5,2051,Deflect,0,128,8,20,-12,-5,116252
2051,Coop,0,136,8,20,-12,-5,2048,Coop,0,136,8,20,-12,-5,116253
2048,Deflect,0,131,8,20,-12,-5,2051,Deflect,0,131,8,20,-12,-5,116254
2051,Coop,0,139,8,20,-12,-5,2048,Coop,0,139,8,20,-12,-5,116255
2048,Deflect,0,134,8,20,-12,-5,2051,Deflect,0,134,8,20,-12,-5,116256
2051,Coop,0,142,8,20,-12,-5,2048,Coop,0,142,8,20,-12,-5,116257
2048,Deflect,0,137,8,20,-12,-5,2051,Deflect,0,137,8,20,-12,-5,116258
2051,Coop,0,145,8,20,-12,-5,2048,Coop,0,145,8,20,-12,-5,116259
2048,Deflect,0,140,8,20,-12,-5,2051,Deflect,0,140,8,20,-12,-5,116260
2051,Coop,0,148,8,20,-12,-5,2048,Coop,0,148,8,20,-12,-5,116261
2048,Deflect,0,143,8,20,-12,-5,2051,Deflect,0,143,8,20,-12,-5,116262
2051,Coop,0,151,8,20,-12,-5,2048,Coop,0,151,8,20,-12,-5,116263
2048,Deflect,0,146,8,20,-12,-5,2051,Deflect,0,146,8,20,-12,-5,116264
2051,Coop,0,154,8,20,-12,-5,2048,Coop,0,154,8,20,-12,-5,116265
2048,Deflect,0,149,8,20,-12,-5,2051,Deflect,0,149,8,20,-12,-5,116266
2051,Coop,0,157,8,20,-12,-5,2048,Coop,0,157,8,20,-12,-5,116267
2048,Deflect,0,152,8,20,-12,-5,2051,Deflect,0,152,8,20,-12,-5,116268
2051,Coop,0,160,8,20,-12,-5,2048,Coop,0,160,8,20,-12,-5,116269
2048,Deflect,0,155,8,20,-12,-5,2051,Deflect,0,155,8,20,-12,-5,116270
2051,Coop,0,163,8,20,-12,-5,2048,Coop,0,163,8,20,-12,-5,116271
2048,Deflect,0,158,8,20,-12,-5,2051,Deflect,0,158,8,20,-12,-5,116272
2051,Coop,0,166,8,20,-12,-5,2048,Coop,0,166,8,20,-12,-5,116273
2048,Deflect,0,161,8,20,-12,-5,2051,Deflect,0,161,8,20,-12,-5,116274
2051,Coop,0,169,8,20,-12,-5,2048,Coop,0,169,8,20,-12,-5,116275
2048,Deflect,0,164,8,20,-12,-5,2051,Deflect,0,164,8,20,-12,-5,116276
2051,Coop,0,172,8,20,-12,-5,2048,Coop,0,172,8,20,-12,-5,116277
2048,Deflect,0,167,8,20,-12,-5,2051,Deflect,0,167,8,20,-12,-5,116278
2051,Coop,0,175,8,20,-12,-5,2048,Coop,0,175,8,20,-12,-5,116279
2048,Deflect,0,170,8,20,-12,-5,2051,Deflect,0,170,8,20,-12,-5,116280
2051,Coop,0,178,8,20,-12,-5,2048,Coop,0,178,8,20,-12,-5,116281
2048,Deflect,0,173,8,20,-12,-5,2051,Deflect,0,173,8,20,-12,-5,116282
2051,Coop,0,181,8,20,-12,-5,2048,Coop,0,181,8,20,-12,-5,116283
2048,Deflect,0,176,8,20,-12,-5,2051,Deflect,0,176,8,20,-12,-5,116284
2051,Coop,0,184,8,20,-12,-5,2048,Coop,0,184,8,20,-12,-5,116285
2048,Deflect,0,179,8,20,-12,-5,2051,Deflect,0,179,8,20,-12,-5,116286
2051,Coop,0,187,8,20,-12,-5,2048,Coop,0,187,8,20,-12,-5,116287
2048,Deflect,0,182,8,20,-12,-5,2051,Deflect,0,182,8,20,-12,-5,116288
2051,Coop,0,190,8,20,-12,-5,2048,Coop,0,190,8,20,-12,-5,116289
2048,Deflect,0,185,8,20,-12,-5,2051,Deflect,0,185,8,20,-12,-5,116290
2051,Coop,0,193,8,20,-12,-5,2048,Coop,0,193,8,20,-12,-5,116291
2048,Deflect,0,188,8,20,-12,-5,2051,Deflect,0,188,8,20,-12,-5,116292
2051,Coop,0,196,8,20,-12,-5,2048,Coop,0,196,8,20,-12,-5,116293
