user1_id,choice_type,game_nr,m_points,coopcoop,coopdeflect,deflectcoop,deflectdeflect,user2_id,choice_type2,game2_nr,m_points2,coopcoop2,coopdeflect2,deflectcoop2,deflectdeflect2,ID
2043,Coop,0,88,8,20,-12,-5,2048,Deflect,0,120,8,20,-12,-5,74486
2048,Coop,0,128,8,20,-12,-5,2043,Coop,0,96,8,20,-12,-5,74487
2043,Coop,0,84,8,20,-12,-5,2048,Deflect,0,148,8,20,-12,-5,74488
2048,Coop,0,156,8,20,-12,-5,2043,Coop,0,92,8,20,-12,-5,74489
2043,Coop,0,80,8,20,-12,-5,2048,Deflect,0,176,8,20,-12,-5,74490
2048,Coop,0,184,8,20,-12,-5,2043,Coop,0,88,8,20,-12,-5,74491
2043,Coop,0,76,8,20,-12,-5,2048,Deflect,0,204,8,20,-12,-5,74492
2048,Coop,0,212,8,20,-12,-5,2043,Coop,0,84,8,20,-12,-5,74493
2043,Coop,0,72,8,20,-12,-5,2048,Deflect,0,232,8,20,-12,-5,74494
2048,Coop,0,240,8,20,-12,-5,2043,Coop,0,80,8,20,-12,-5,74495
2043,Coop,0,68,8,20,-12,-5,2048,Deflect,0,260,8,20,-12,-5,74496
2048,Coop,0,268,8,20,-12,-5,2043,Coop,0,76,8,20,-12,-5,74497
2043,Coop,0,64,8,20,-12,-5,2048,Deflect,0,288,8,20,-12,-5,74498
2048,Coop,0,296,8,20,-12,-5,2043,Coop,0,72,8,20,-12,-5,74499
2043,Coop,0,60,8,20,-12,-5,2048,Deflect,0,316,8,20,-12,-5,74500
2048,Coop,0,324,8,20,-12,-5,2043,Coop,0,68,8,20,-12,-5,74501
2043,Coop,0,56,8,20,-12,-5,2048,Deflect,0,344,8,20,-12,-5,74502
2048,Coop,0,352,8,20,-12,-5,2043,Coop,0,64,8,20,-12,-5,74503
2043,Coop,0,52,8,20,-12,-5,2048,Deflect,0,372,8,20,-12,-5,74504
2048,Coop,0,380,8,20,-12,-5,2043,Coop,0,60,8,20,-12,-5,74505
2043,Coop,0,48,8,20,-12,-5,2048,Deflect,0,400,8,20,-12,-5,74506
2048,Coop,0,408,8,20,-12,-5,2043,Coop,0,56,8,20,-12,-5,74507
2043,Coop,0,44,8,20,-12,-5,2048,Deflect,0,428,8,20,-12,-5,74508
2048,Coop,0,436,8,20,-12,-5,2043,Coop,0,52,8,20,-12,-5,74509
2043,Coop,0,40,8,20,-12,-5,2048,Deflect,0,456,8,20,-12,-5,74510
2048,Coop,0,464,8,20,-12,-5,2043,Coop,0,48,8,20,-12,-5,74511
2043,Coop,0,36,8,20,-12,-5,2048,Deflect,0,484,8,20,-12,-5,74512
2048,Coop,0,492,8,20,-12,-5,2043,Coop,0,44,8,20,-12,-5,74513
2043,Coop,0,32,8,20,-12,-5,2048,Deflect,0,512,8,20,-12,-5,74514
2048,Coop,0,520,8,20,-12,-5,2043,Coop,0,40,8,20,-12,-5,74515
2043,Coop,0,28,8,20,-12,-5,2048,Deflect,0,540,8,20,-12,-5,74516
2048,Coop,0,548,8,20,-12,-5,2043,Coop,0,36,8,20,-12,-5,74517
2043,Coop,0,24,8,20,-12,-5,2048,Deflect,0,568,8,20,-12,-5,74518
2048,Coop,0,576,8,20,-12,-5,2043,Coop,0,32,8,20,-12,-5,74519
2043,Coop,0,20,8,20,-12,-5,2048,Deflect,0,596,8,20,-12,-5,74520
2048,Coop,0,604,8,20,-12,-5,2043,Coop,0,28,8,20,-12,-5,74521
2043,Coop,0,16,8,20,-12,-5,2048,Deflect,0,624,8,20,-12,-5,74522
2048,Coop,0,632,8,20,-12,-5,2043,Coop,0,24,8,20,-12,-5,74523
2043,Coop,0,12,8,20,-12,-5,2048,Deflect,0,652,8,20,-12,-5,74524
2048,Coop,0,660,8,20,-12,-5,2043,Coop,0,20,8,20,-12,-5,74525
2043,Coop,0,8,8,20,-12,-5,2048,Deflect,0,680,8,20,-12,-5,74526
2048,Coop,0,688,8,20,-12,-5,2043,Coop,0,16,8,20,-12,-5,74527
2043,Coop,0,4,8,20,-12,-5,2048,Deflect,0,708,8,20,-12,-5,74528
2048,Coop,0,716,8,20,-12,-5,2043,Coop,0,12,8,20,-12,-5,74529
2043,Coop,0,0,8,20,-12,-5,2048,Deflect,0,736,8,20,-12,-5,74530
