user1_id,choice_type,game_nr,m_points,coopcoop,coopdeflect,deflectcoop,deflectdeflect,user2_id,choice_type2,game2_nr,m_points2,coopcoop2,coopdeflect2,deflectcoop2,deflectdeflect2,ID
2043,Coop,0,108,8,20,-12,-5,2047,Coop,0,108,8,20,-12,-5,73474
2047,Coop,0,116,8,20,-12,-5,2043,Coop,0,116,8,20,-12,-5,73475
2043,Coop,0,124,8,20,-12,-5,2047,Coop,0,124,8,20,-12,-5,73476
2047,Coop,0,132,8,20,-12,-5,2043,Coop,0,132,8,20,-12,-5,73477
2043,Coop,0,140,8,20,-12,-5,2047,Coop,0,140,8,20,-12,-5,73478
2047,Coop,0,148,8,20,-12,-5,2043,Coop,0,148,8,20,-12,-5,73479
2043,Coop,0,156,8,20,-12,-5,2047,Coop,0,156,8,20,-12,-5,73480
2047,Coop,0,164,8,20,-12,-5,2043,Coop,0,164,8,20,-12,-5,73481
2043,Coop,0,172,8,20,-12,-5,2047,Coop,0,172,8,20,-12,-5,73482
2047,Coop,0,180,8,20,-12,-5,2043,Coop,0,180,8,20,-12,-5,73483
2043,Coop,0,188,8,20,-12,-5,2047,Coop,0,188,8,20,-12,-5,73484
2047,Coop,0,196,8,20,-12,-5,2043,Coop,0,196,8,20,-12,-5,73485
2043,Coop,0,204,8,20,-12,-5,2047,Coop,0,204,8,20,-12,-5,73486
2047,Coop,0,212,8,20,-12,-5,2043,Coop,0,212,8,20,-12,-5,73487
2043,Coop,0,220,8,20,-12,-5,2047,Coop,0,220,8,20,-12,-5,73488
2047,Coop,0,228,8,20,-12,-5,2043,Coop,0,228,8,20,-12,-5,73489
2043,Coop,0,236,8,20,-12,-5,2047,Coop,0,236,8,20,-12,-5,73490
2047,Coop,0,244,8,20,-12,-5,2043,Coop,0,244,8,20,-12,-5,73491
2043,Coop,0,252,8,20,-12,-5,2047,Coop,0,252,8,20,-12,-5,73492
2047,Coop,0,260,8,20,-12,-5,2043,Coop,0,260,8,20,-12,-5,73493
2043,Coop,0,268,8,20,-12,-5,2047,Coop,0,268,8,20,-12,-5,73494
2047,Coop,0,276,8,20,-12,-5,2043,Coop,0,276,8,20,-12,-5,73495
2043,Coop,0,284,8,20,-12,-5,2047,Coop,0,284,8,20,-12,-5,73496
2047,Coop,0,292,8,20,-12,-5,2043,Coop,0,292,8,20,-12,-5,73497
2043,Coop,0,300,8,20,-12,-5,2047,Coop,0,300,8,20,-12,-5,73498
2047,Coop,0,308,8,20,-12,-5,2043,Coop,0,308,8,20,-12,-5,73499
2043,Coop,0,316,8,20,-12,-5,2047,Coop,0,316,8,20,-12,-5,73500
2047,Coop,0,324,8,20,-12,-5,2043,Coop,0,324,8,20,-12,-5,73501
2043,Coop,0,332,8,20,-12,-5,2047,Coop,0,332,8,20,-12,-5,73502
2047,Coop,0,340,8,20,-12,-5,2043,Coop,0,340,8,20,-12,-5,73503
2043,Coop,0,348,8,20,-12,-5,2047,Coop,0,348,8,20,-12,-5,73504
2047,Coop,0,356,8,20,-12,-5,2043,Coop,0,356,8,20,-12,-5,73505
2043,Coop,0,364,8,20,-12,-5,2047,Coop,0,364,8,20,-12,-5,73506
2047,Coop,0,372,8,20,-12,-5,2043,Coop,0,372,8,20,-12,-5,73507
2043,Coop,0,380,8,20,-12,-5,2047,Coop,0,380,8,20,-12,-5,73508
2047,Coop,0,388,8,20,-12,-5,2043,Coop,0,388,8,20,-12,-5,73509
2043,Coop,0,396,8,20,-12,-5,2047,Coop,0,396,8,20,-12,-5,73510
2047,Coop,0,404,8,20,-12,-5,2043,Coop,0,404,8,20,-12,-5,73511
2043,Coop,0,412,8,20,-12,-5,2047,Coop,0,412,8,20,-12,-5,73512
2047,Coop,0,420,8,20,-12,-5,2043,Coop,0,420,8,20,-12,-5,73513
2043,Coop,0,428,8,20,-12,-5,2047,Coop,0,428,8,20,-12,-5,73514
2047,Coop,0,436,8,20,-12,-5,2043,Coop,0,436,8,20,-12,-5,73515
2043,Coop,0,444,8,20,-12,-5,2047,Coop,0,444,8,20,-12,-5,73516
2047,Coop,0,452,8,20,-12,-5,2043,Coop,0,452,8,20,-12,-5,73517
2043,Coop,0,460,8,20,-12,-5,2047,Coop,0,460,8,20,-12,-5,73518
2047,Coop,0,468,8,20,-12,-5,2043,Coop,0,468,8,20,-12,-5,73519
2043,Coop,0,476,8,20,-12,-5,2047,Coop,0,476,8,20,-12,-5,73520
2047,Coop,0,484,8,20,-12,-5,2043,Coop,0,484,8,20,-12,-5,73521
2043,Coop,0,492,8,20,-12,-5,2047,Coop,0,492,8,20,-12,-5,73522
2047,Coop,0,500,8,20,-12,-5,2043,Coop,0,500,8,20,-12,-5,73523
2043,Coop,0,508,8,20,-12,-5,2047,Coop,0,508,8,20,-12,-5,73524
2047,Coop,0,516,8,20,-12,-5,2043,Coop,0,516,8,20,-12,-5,73525
2043,Coop,0,524,8,20,-12,-5,2047,Coop,0,524,8,20,-12,-5,73526
2047,Coop,0,532,8,20,-12,-5,2043,Coop,0,532,8,20,-12,-5,73527
2043,Coop,0,540,8,20,-12,-5,2047,Coop,0,540,8,20,-12,-5,73528
2047,Coop,0,548,8,20,-12,-5,2043,Coop,0,548,8,20,-12,-5,73529
2043,Coop,0,556,8,20,-12,-5,2047,Coop,0,556,8,20,-12,-5,73530
2047,Coop,0,564,8,20,-12,-5,2043,Coop,0,564,8,20,-12,-5,73531
2043,Coop,0,572,8,20,-12,-5,2047,Coop,0,572,8,20,-12,-5,73532
2047,Coop,0,580,8,20,-12,-5,2043,Coop,0,580,8,20,-12,-5,73533
2043,Coop,0,588,8,20,-12,-5,2047,Coop,0,588,8,20,-12,-5,73534
2047,Coop,0,596,8,20,-12,-5,2043,Coop,0,596,8,20,-12,-5,73535
2043,Coop,0,604,8,20,-12,-5,2047,Coop,0,604,8,20,-12,-5,73536
2047,Coop,0,612,8,20,-12,-5,2043,Coop,0,612,8,20,-12,-5,73537
2043,Coop,0,620,8,20,-12,-5,2047,Coop,0,620,8,20,-12,-5,73538
2047,Coop,0,628,8,20,-12,-5,2043,Coop,0,628,8,20,-12,-5,73539
2043,Coop,0,636,8,20,-12,-5,2047,Coop,0,636,8,20,-12,-5,73540
2047,Coop,0,644,8,20,-12,-5,2043,Coop,0,644,8,20,-12,-5,73541
2043,Coop,0,652,8,20,-12,-5,2047,Coop,0,652,8,20,-12,-5,73542
2047,Coop,0,660,8,20,-12,-5,2043,Coop,0,660,8,20,-12,-5,73543
