user1_id,choice_type,game_nr,m_points,coopcoop,coopdeflect,deflectcoop,deflectdeflect,user2_id,choice_type2,game2_nr,m_points2,coopcoop2,coopdeflect2,deflectcoop2,deflectdeflect2,ID
2043,Coop,0,108,8,20,-12,-5,2045,Coop,0,108,8,20,-12,-5,72446
2045,Coop,0,116,8,20,-12,-5,2043,Coop,0,116,8,20,-12,-5,72447
2043,Coop,0,124,8,20,-12,-5,2045,Coop,0,124,8,20,-12,-5,72448
2045,Coop,0,132,8,20,-12,-5,2043,Coop,0,132,8,20,-12,-5,72449
2043,Coop,0,140,8,20,-12,-5,2045,Coop,0,140,8,20,-12,-5,72450
2045,Coop,0,148,8,20,-12,-5,2043,Coop,0,148,8,20,-12,-5,72451
2043,Coop,0,156,8,20,-12,-5,2045,Coop,0,156,8,20,-12,-5,72452
2045,Coop,0,164,8,20,-12,-5,2043,Coop,0,164,8,20,-12,-5,72453
2043,Coop,0,172,8,20,-12,-5,2045,Coop,0,172,8,20,-12,-5,72454
2045,Coop,0,180,8,20,-12,-5,2043,Coop,0,180,8,20,-12,-5,72455
2043,Coop,0,188,8,20,-12,-5,2045,Coop,0,188,8,20,-12,-5,72456
2045,Coop,0,196,8,20,-12,-5,2043,Coop,0,196,8,20,-12,-5,72457
2043,Coop,0,204,8,20,-12,-5,2045,Coop,0,204,8,20,-12,-5,72458
2045,Coop,0,212,8,20,-12,-5,2043,Coop,0,212,8,20,-12,-5,72459
2043,Coop,0,220,8,20,-12,-5,2045,Coop,0,220,8,20,-12,-5,72460
2045,Coop,0,228,8,20,-12,-5,2043,Coop,0,228,8,20,-12,-5,72461
2043,Coop,0,236,8,20,-12,-5,2045,Coop,0,236,8,20,-12,-5,72462
2045,Coop,0,244,8,20,-12,-5,2043,Coop,0,244,8,20,-12,-5,72463
2043,Coop,0,252,8,20,-12,-5,2045,Coop,0,252,8,20,-12,-5,72464
2045,Coop,0,260,8,20,-12,-5,2043,Coop,0,260,8,20,-12,-5,72465
2043,Coop,0,268,8,20,-12,-5,2045,Coop,0,268,8,20,-12,-5,72466
2045,Coop,0,276,8,20,-12,-5,2043,Coop,0,276,8,20,-12,-5,72467
2043,Coop,0,284,8,20,-12,-5,2045,Coop,0,284,8,20,-12,-5,72468
2045,Coop,0,292,8,20,-12,-5,2043,Coop,0,292,8,20,-12,-5,72469
2043,Coop,0,300,8,20,-12,-5,2045,Coop,0,300,8,20,-12,-5,72470
2045,Coop,0,308,8,20,-12,-5,2043,Coop,0,308,8,20,-12,-5,72471
2043,Coop,0,316,8,20,-12,-5,2045,Coop,0,316,8,20,-12,-5,72472
2045,Coop,0,324,8,20,-12,-5,2043,Coop,0,324,8,20,-12,-5,72473
2043,Coop,0,332,8,20,-12,-5,2045,Coop,0,332,8,20,-12,-5,72474
2045,Coop,0,340,8,20,-12,-5,2043,Coop,0,340,8,20,-12,-5,72475
2043,Coop,0,348,8,20,-12,-5,2045,Coop,0,348,8,20,-12,-5,72476
2045,Coop,0,356,8,20,-12,-5,2043,Coop,0,356,8,20,-12,-5,72477
2043,Coop,0,364,8,20,-12,-5,2045,Coop,0,364,8,20,-12,-5,72478
2045,Coop,0,372,8,20,-12,-5,2043,Coop,0,372,8,20,-12,-5,72479
2043,Coop,0,380,8,20,-12,-5,2045,Coop,0,380,8,20,-12,-5,72480
2045,Coop,0,388,8,20,-12,-5,2043,Coop,0,388,8,20,-12,-5,72481
2043,Coop,0,396,8,20,-12,-5,2045,Coop,0,396,8,20,-12,-5,72482
2045,Coop,0,404,8,20,-12,-5,2043,Coop,0,404,8,20,-12,-5,72483
2043,Coop,0,412,8,20,-12,-5,2045,Coop,0,412,8,20,-12,-5,72484
2045,Coop,0,420,8,20,-12,-5,2043,Coop,0,420,8,20,-12,-5,72485
2043,Coop,0,428,8,20,-12,-5,2045,Coop,0,428,8,20,-12,-5,72486
2045,Coop,0,436,8,20,-12,-5,2043,Coop,0,436,8,20,-12,-5,72487
2043,Coop,0,444,8,20,-12,-5,2045,Coop,0,444,8,20,-12,-5,72488
2045,Coop,0,452,8,20,-12,-5,2043,Coop,0,452,8,20,-12,-5,72489
2043,Coop,0,460,8,20,-12,-5,2045,Coop,0,460,8,20,-12,-5,72490
2045,Coop,0,468,8,20,-12,-5,2043,Coop,0,468,8,20,-12,-5,72491
2043,Coop,0,476,8,20,-12,-5,2045,Coop,0,476,8,20,-12,-5,72492
2045,Coop,0,484,8,20,-12,-5,2043,Coop,0,484,8,20,-12,-5,72493
2043,Coop,0,492,8,20,-12,-5,2045,Coop,0,492,8,20,-12,-5,72494
2045,Coop,0,500,8,20,-12,-5,2043,Coop,0,500,8,20,-12,-5,72495
2043,Coop,0,508,8,20,-12,-5,2045,Coop,0,508,8,20,-12,-5,72496
2045,Coop,0,516,8,20,-12,-5,2043,Coop,0,516,8,20,-12,-5,72497
2043,Coop,0,524,8,20,-12,-5,2045,Coop,0,524,8,20,-12,-5,72498
2045,Coop,0,532,8,20,-12,-5,2043,Coop,0,532,8,20,-12,-5,72499
2043,Coop,0,540,8,20,-12,-5,2045,Coop,0,540,8,20,-12,-5,72500
2045,Coop,0,548,8,20,-12,-5,2043,Coop,0,548,8,20,-12,-5,72501
2043,Coop,0,556,8,20,-12,-5,2045,Coop,0,556,8,20,-12,-5,72502
2045,Coop,0,564,8,20,-12,-5,2043,Coop,0,564,8,20,-12,-5,72503
