user1_id,choice_type,game_nr,m_points,coopcoop,coopdeflect,deflectcoop,deflectdeflect,user2_id,choice_type2,game2_nr,m_points2,coopcoop2,coopdeflect2,deflectcoop2,deflectdeflect2,ID
2046,Deflect,0,120,8,20,-12,-5,2047,Coop,0,88,8,20,-12,-5,75615
2047,Deflect,0,108,8,20,-12,-5,2046,Coop,0,108,8,20,-12,-5,75616
2046,Coop,0,96,8,20,-12,-5,2047,Deflect,0,128,8,20,-12,-5,75617
2047,Deflect,0,123,8,20,-12,-5,2046,Deflect,0,91,8,20,-12,-5,75618
2046,Deflect,0,86,8,20,-12,-5,2047,Deflect,0,118,8,20,-12,-5,75619
2047,Deflect,0,113,8,20,-12,-5,2046,Deflect,0,81,8,20,-12,-5,75620
2046,Deflect,0,76,8,20,-12,-5,2047,Deflect,0,108,8,20,-12,-5,75621
2047,Deflect,0,103,8,20,-12,-5,2046,Deflect,0,71,8,20,-12,-5,75622
2046,Deflect,0,66,8,20,-12,-5,2047,Deflect,0,98,8,20,-12,-5,75623
2047,Deflect,0,93,8,20,-12,-5,2046,Deflect,0,61,8,20,-12,-5,75624
2046,Deflect,0,56,8,20,-12,-5,2047,Deflect,0,88,8,20,-12,-5,75625
2047,Deflect,0,83,8,20,-12,-5,2046,Deflect,0,51,8,20,-12,-5,75626
2046,Deflect,0,46,8,20,-12,-5,2047,Deflect,0,78,8,20,-12,-5,75627
2047,Deflect,0,73,8,20,-12,-5,2046,Deflect,0,41,8,20,-12,-5,75628
2046,Deflect,0,36,8,20,-12,-5,2047,Deflect,0,68,8,20,-12,-5,75629
2047,Deflect,0,63,8,20,-12,-5,2046,Deflect,0,31,8,20,-12,-5,75630
2046,Deflect,0,26,8,20,-12,-5,2047,Deflect,0,58,8,20,-12,-5,75631
2047,Deflect,0,53,8,20,-12,-5,2046,Deflect,0,21,8,20,-12,-5,75632
2046,Deflect,0,16,8,20,-12,-5,2047,Deflect,0,48,8,20,-12,-5,75633
2047,Deflect,0,43,8,20,-12,-5,2046,Deflect,0,11,8,20,-12,-5,75634
2046,Deflect,0,6,8,20,-12,-5,2047,Deflect,0,38,8,20,-12,-5,75635
2047,Deflect,0,33,8,20,-12,-5,2046,Deflect,0,1,8,20,-12,-5,75636
2046,Deflect,0,-4,8,20,-12,-5,2047,Deflect,0,28,8,20,-12,-5,75637
