user1_id,choice_type,game_nr,m_points,coopcoop,coopdeflect,deflectcoop,deflectdeflect,user2_id,choice_type2,game2_nr,m_points2,coopcoop2,coopdeflect2,deflectcoop2,deflectdeflect2,ID
2041,Deflect,0,120,8,20,-12,-5,2043,Coop,0,88,8,20,-12,-5,70230
2043,Coop,0,76,8,20,-12,-5,2041,Deflect,0,140,8,20,-12,-5,70231
2041,Deflect,0,160,8,20,-12,-5,2043,Coop,0,64,8,20,-12,-5,70232
2043,Coop,0,52,8,20,-12,-5,2041,Deflect,0,180,8,20,-12,-5,70233
2041,Deflect,0,200,8,20,-12,-5,2043,Coop,0,40,8,20,-12,-5,70234
2043,Coop,0,48,8,20,-12,-5,2041,Coop,0,208,8,20,-12,-5,70235
2041,Coop,0,216,8,20,-12,-5,2043,Coop,0,56,8,20,-12,-5,70236
2043,Coop,0,44,8,20,-12,-5,2041,Deflect,0,236,8,20,-12,-5,70237
2041,Coop,0,244,8,20,-12,-5,2043,Coop,0,52,8,20,-12,-5,70238
2043,Coop,0,60,8,20,-12,-5,2041,Coop,0,252,8,20,-12,-5,70239
2041,Deflect,0,272,8,20,-12,-5,2043,Coop,0,48,8,20,-12,-5,70240
2043,Coop,0,56,8,20,-12,-5,2041,Coop,0,280,8,20,-12,-5,70241
2041,Coop,0,288,8,20,-12,-5,2043,Coop,0,64,8,20,-12,-5,70242
2043,Coop,0,72,8,20,-12,-5,2041,Coop,0,296,8,20,-12,-5,70243
2041,Deflect,0,316,8,20,-12,-5,2043,Coop,0,60,8,20,-12,-5,70244
2043,Coop,0,48,8,20,-12,-5,2041,Deflect,0,336,8,20,-12,-5,70245
2041,Deflect,0,356,8,20,-12,-5,2043,Coop,0,36,8,20,-12,-5,70246
2043,Coop,0,44,8,20,-12,-5,2041,Coop,0,364,8,20,-12,-5,70247
2041,Coop,0,372,8,20,-12,-5,2043,Coop,0,52,8,20,-12,-5,70248
2043,Coop,0,40,8,20,-12,-5,2041,Deflect,0,392,8,20,-12,-5,70249
2041,Coop,0,400,8,20,-12,-5,2043,Coop,0,48,8,20,-12,-5,70250
2043,Coop,0,56,8,20,-12,-5,2041,Coop,0,408,8,20,-12,-5,70251
2041,Deflect,0,428,8,20,-12,-5,2043,Coop,0,44,8,20,-12,-5,70252
2043,Coop,0,52,8,20,-12,-5,2041,Coop,0,436,8,20,-12,-5,70253
2041,Deflect,0,456,8,20,-12,-5,2043,Coop,0,40,8,20,-12,-5,70254
2043,Coop,0,48,8,20,-12,-5,2041,Coop,0,464,8,20,-12,-5,70255
2041,Coop,0,472,8,20,-12,-5,2043,Coop,0,56,8,20,-12,-5,70256
2043,Coop,0,64,8,20,-12,-5,2041,Coop,0,480,8,20,-12,-5,70257
2041,Deflect,0,500,8,20,-12,-5,2043,Coop,0,52,8,20,-12,-5,70258
2043,Coop,0,60,8,20,-12,-5,2041,Coop,0,508,8,20,-12,-5,70259
2041,Deflect,0,528,8,20,-12,-5,2043,Coop,0,48,8,20,-12,-5,70260
2043,Coop,0,56,8,20,-12,-5,2041,Coop,0,536,8,20,-12,-5,70261
2041,Deflect,0,556,8,20,-12,-5,2043,Coop,0,44,8,20,-12,-5,70262
2043,Coop,0,32,8,20,-12,-5,2041,Deflect,0,576,8,20,-12,-5,70263
2041,Deflect,0,596,8,20,-12,-5,2043,Coop,0,20,8,20,-12,-5,70264
2043,Coop,0,28,8,20,-12,-5,2041,Coop,0,604,8,20,-12,-5,70265
2041,Deflect,0,624,8,20,-12,-5,2043,Coop,0,16,8,20,-12,-5,70266
2043,Coop,0,4,8,20,-12,-5,2041,Deflect,0,644,8,20,-12,-5,70267
2041,Coop,0,652,8,20,-12,-5,2043,Coop,0,12,8,20,-12,-5,70268
2043,Coop,0,20,8,20,-12,-5,2041,Coop,0,660,8,20,-12,-5,70269
2041,Coop,0,668,8,20,-12,-5,2043,Coop,0,28,8,20,-12,-5,70270
2043,Coop,0,36,8,20,-12,-5,2041,Coop,0,676,8,20,-12,-5,70271
2041,Deflect,0,696,8,20,-12,-5,2043,Coop,0,24,8,20,-12,-5,70272
2043,Coop,0,12,8,20,-12,-5,2041,Deflect,0,716,8,20,-12,-5,70273
2041,Deflect,0,736,8,20,-12,-5,2043,Coop,0,0,8,20,-12,-5,70274
