user1_id,choice_type,game_nr,m_points,coopcoop,coopdeflect,deflectcoop,deflectdeflect,user2_id,choice_type2,game2_nr,m_points2,coopcoop2,coopdeflect2,deflectcoop2,deflectdeflect2,ID
2041,Deflect,0,95,8,20,-12,-5,2042,Deflect,0,95,8,20,-12,-5,70217
2042,Deflect,0,115,8,20,-12,-5,2041,Coop,0,83,8,20,-12,-5,70218
2041,Deflect,0,78,8,20,-12,-5,2042,Deflect,0,110,8,20,-12,-5,70219
2042,Deflect,0,105,8,20,-12,-5,2041,Deflect,0,73,8,20,-12,-5,70220
2041,Coop,0,61,8,20,-12,-5,2042,Deflect,0,125,8,20,-12,-5,70221
2042,Deflect,0,120,8,20,-12,-5,2041,Deflect,0,56,8,20,-12,-5,70222
2041,Deflect,0,51,8,20,-12,-5,2042,Deflect,0,115,8,20,-12,-5,70223
2042,Deflect,0,135,8,20,-12,-5,2041,Coop,0,39,8,20,-12,-5,70224
2041,Coop,0,27,8,20,-12,-5,2042,Deflect,0,155,8,20,-12,-5,70225
2042,Deflect,0,150,8,20,-12,-5,2041,Deflect,0,22,8,20,-12,-5,70226
2041,Deflect,0,17,8,20,-12,-5,2042,Deflect,0,145,8,20,-12,-5,70227
2042,Deflect,0,140,8,20,-12,-5,2041,Deflect,0,12,8,20,-12,-5,70228
2041,Coop,0,0,8,20,-12,-5,2042,Deflect,0,160,8,20,-12,-5,70229
