user1_id,choice_type,game_nr,m_points,coopcoop,coopdeflect,deflectcoop,deflectdeflect,user2_id,choice_type2,game2_nr,m_points2,coopcoop2,coopdeflect2,deflectcoop2,deflectdeflect2,ID
2041,Deflect,0,120,8,20,-12,-5,2045,Coop,0,88,8,20,-12,-5,70275
2045,Coop,0,96,8,20,-12,-5,2041,Coop,0,128,8,20,-12,-5,70276
2041,Coop,0,136,8,20,-12,-5,2045,Coop,0,104,8,20,-12,-5,70277
2045,Coop,0,112,8,20,-12,-5,2041,Coop,0,144,8,20,-12,-5,70278
2041,Coop,0,152,8,20,-12,-5,2045,Coop,0,120,8,20,-12,-5,70279
2045,Coop,0,128,8,20,-12,-5,2041,Coop,0,160,8,20,-12,-5,70280
2041,Deflect,0,180,8,20,-12,-5,2045,Coop,0,116,8,20,-12,-5,70281
2045,Coop,0,124,8,20,-12,-5,2041,Coop,0,188,8,20,-12,-5,70282
2041,Deflect,0,208,8,20,-12,-5,2045,Coop,0,112,8,20,-12,-5,70283
2045,Coop,0,100,8,20,-12,-5,2041,Deflect,0,228,8,20,-12,-5,70284
2041,Deflect,0,223,8,20,-12,-5,2045,Deflect,0,95,8,20,-12,-5,70285
2045,Deflect,0,115,8,20,-12,-5,2041,Coop,0,211,8,20,-12,-5,70286
2041,Deflect,0,231,8,20,-12,-5,2045,Coop,0,103,8,20,-12,-5,70287
2045,Coop,0,111,8,20,-12,-5,2041,Coop,0,239,8,20,-12,-5,70288
2041,Deflect,0,259,8,20,-12,-5,2045,Coop,0,99,8,20,-12,-5,70289
2045,Coop,0,107,8,20,-12,-5,2041,Coop,0,267,8,20,-12,-5,70290
2041,Coop,0,275,8,20,-12,-5,2045,Coop,0,115,8,20,-12,-5,70291
2045,Coop,0,123,8,20,-12,-5,2041,Coop,0,283,8,20,-12,-5,70292
2041,Deflect,0,303,8,20,-12,-5,2045,Coop,0,111,8,20,-12,-5,70293
2045,Coop,0,99,8,20,-12,-5,2041,Deflect,0,323,8,20,-12,-5,70294
2041,Coop,0,311,8,20,-12,-5,2045,Deflect,0,119,8,20,-12,-5,70295
2045,Coop,0,127,8,20,-12,-5,2041,Coop,0,319,8,20,-12,-5,70296
2041,Coop,0,327,8,20,-12,-5,2045,Coop,0,135,8,20,-12,-5,70297
2045,Coop,0,123,8,20,-12,-5,2041,Deflect,0,347,8,20,-12,-5,70298
2041,Deflect,0,367,8,20,-12,-5,2045,Coop,0,111,8,20,-12,-5,70299
2045,Deflect,0,106,8,20,-12,-5,2041,Deflect,0,362,8,20,-12,-5,70300
2041,Deflect,0,357,8,20,-12,-5,2045,Deflect,0,101,8,20,-12,-5,70301
2045,Deflect,0,121,8,20,-12,-5,2041,Coop,0,345,8,20,-12,-5,70302
2041,Coop,0,353,8,20,-12,-5,2045,Coop,0,129,8,20,-12,-5,70303
2045,Coop,0,137,8,20,-12,-5,2041,Coop,0,361,8,20,-12,-5,70304
2041,Coop,0,369,8,20,-12,-5,2045,Coop,0,145,8,20,-12,-5,70305
2045,Coop,0,153,8,20,-12,-5,2041,Coop,0,377,8,20,-12,-5,70306
2041,Deflect,0,397,8,20,-12,-5,2045,Coop,0,141,8,20,-12,-5,70307
2045,Coop,0,129,8,20,-12,-5,2041,Deflect,0,417,8,20,-12,-5,70308
2041,Coop,0,405,8,20,-12,-5,2045,Deflect,0,149,8,20,-12,-5,70309
2045,Coop,0,157,8,20,-12,-5,2041,Coop,0,413,8,20,-12,-5,70310
2041,Deflect,0,433,8,20,-12,-5,2045,Coop,0,145,8,20,-12,-5,70311
2045,Coop,0,153,8,20,-12,-5,2041,Coop,0,441,8,20,-12,-5,70312
2041,Coop,0,449,8,20,-12,-5,2045,Coop,0,161,8,20,-12,-5,70313
2045,Coop,0,169,8,20,-12,-5,2041,Coop,0,457,8,20,-12,-5,70314
2041,Deflect,0,477,8,20,-12,-5,2045,Coop,0,157,8,20,-12,-5,70315
2045,Coop,0,145,8,20,-12,-5,2041,Deflect,0,497,8,20,-12,-5,70316
2041,Deflect,0,492,8,20,-12,-5,2045,Deflect,0,140,8,20,-12,-5,70317
2045,Deflect,0,160,8,20,-12,-5,2041,Coop,0,480,8,20,-12,-5,70318
