user1_id,choice_type,game_nr,m_points,coopcoop,coopdeflect,deflectcoop,deflectdeflect,user2_id,choice_type2,game2_nr,m_points2,coopcoop2,coopdeflect2,deflectcoop2,deflectdeflect2,ID
2041,Deflect,0,95,8,20,-12,-5,2046,Deflect,0,95,8,20,-12,-5,71307
2046,Coop,0,103,8,20,-12,-5,2041,Coop,0,103,8,20,-12,-5,71308
2041,Coop,0,111,8,20,-12,-5,2046,Coop,0,111,8,20,-12,-5,71309
2046,Deflect,0,106,8,20,-12,-5,2041,Deflect,0,106,8,20,-12,-5,71310
2041,Deflect,0,101,8,20,-12,-5,2046,Deflect,0,101,8,20,-12,-5,71311
2046,Deflect,0,96,8,20,-12,-5,2041,Deflect,0,96,8,20,-12,-5,71312
2041,Deflect,0,91,8,20,-12,-5,2046,Deflect,0,91,8,20,-12,-5,71313
2046,Deflect,0,111,8,20,-12,-5,2041,Coop,0,79,8,20,-12,-5,71314
2041,Coop,0,67,8,20,-12,-5,2046,Deflect,0,131,8,20,-12,-5,71315
2046,Deflect,0,126,8,20,-12,-5,2041,Deflect,0,62,8,20,-12,-5,71316
2041,Deflect,0,57,8,20,-12,-5,2046,Deflect,0,121,8,20,-12,-5,71317
2046,Deflect,0,141,8,20,-12,-5,2041,Coop,0,45,8,20,-12,-5,71318
2041,Coop,0,33,8,20,-12,-5,2046,Deflect,0,161,8,20,-12,-5,71319
2046,Deflect,0,181,8,20,-12,-5,2041,Coop,0,21,8,20,-12,-5,71320
2041,Coop,0,9,8,20,-12,-5,2046,Deflect,0,201,8,20,-12,-5,71321
2046,Deflect,0,196,8,20,-12,-5,2041,Deflect,0,4,8,20,-12,-5,71322
2041,Coop,0,-8,8,20,-12,-5,2046,Deflect,0,216,8,20,-12,-5,71323
