user1_id,choice_type,game_nr,m_points,coopcoop,coopdeflect,deflectcoop,deflectdeflect,user2_id,choice_type2,game2_nr,m_points2,coopcoop2,coopdeflect2,deflectcoop2,deflectdeflect2,ID
2041,Deflect,0,95,8,20,-12,-5,2048,Deflect,0,95,8,20,-12,-5,71340
2048,Coop,0,83,8,20,-12,-5,2041,Deflect,0,115,8,20,-12,-5,71341
2041,Coop,0,123,8,20,-12,-5,2048,Coop,0,91,8,20,-12,-5,71342
2048,Coop,0,99,8,20,-12,-5,2041,Coop,0,131,8,20,-12,-5,71343
2041,Deflect,0,151,8,20,-12,-5,2048,Coop,0,87,8,20,-12,-5,71344
2048,Deflect,0,107,8,20,-12,-5,2041,Coop,0,139,8,20,-12,-5,71345
2041,Deflect,0,159,8,20,-12,-5,2048,Coop,0,95,8,20,-12,-5,71346
2048,Deflect,0,115,8,20,-12,-5,2041,Coop,0,147,8,20,-12,-5,71347
2041,Deflect,0,167,8,20,-12,-5,2048,Coop,0,103,8,20,-12,-5,71348
2048,Deflect,0,123,8,20,-12,-5,2041,Coop,0,155,8,20,-12,-5,71349
2041,Coop,0,163,8,20,-12,-5,2048,Coop,0,131,8,20,-12,-5,71350
2048,Coop,0,119,8,20,-12,-5,2041,Deflect,0,183,8,20,-12,-5,71351
2041,Coop,0,171,8,20,-12,-5,2048,Deflect,0,139,8,20,-12,-5,71352
2048,Coop,0,147,8,20,-12,-5,2041,Coop,0,179,8,20,-12,-5,71353
2041,Deflect,0,199,8,20,-12,-5,2048,Coop,0,135,8,20,-12,-5,71354
2048,Deflect,0,130,8,20,-12,-5,2041,Deflect,0,194,8,20,-12,-5,71355
2041,Deflect,0,189,8,20,-12,-5,2048,Deflect,0,125,8,20,-12,-5,71356
2048,Deflect,0,145,8,20,-12,-5,2041,Coop,0,177,8,20,-12,-5,71357
2041,Deflect,0,197,8,20,-12,-5,2048,Coop,0,133,8,20,-12,-5,71358
2048,Deflect,0,128,8,20,-12,-5,2041,Deflect,0,192,8,20,-12,-5,71359
2041,Coop,0,180,8,20,-12,-5,2048,Deflect,0,148,8,20,-12,-5,71360
2048,Coop,0,156,8,20,-12,-5,2041,Coop,0,188,8,20,-12,-5,71361
2041,Deflect,0,208,8,20,-12,-5,2048,Coop,0,144,8,20,-12,-5,71362
2048,Deflect,0,164,8,20,-12,-5,2041,Coop,0,196,8,20,-12,-5,71363
2041,Deflect,0,216,8,20,-12,-5,2048,Coop,0,152,8,20,-12,-5,71364
2048,Deflect,0,172,8,20,-12,-5,2041,Coop,0,204,8,20,-12,-5,71365
2041,Deflect,0,224,8,20,-12,-5,2048,Coop,0,160,8,20,-12,-5,71366
2048,Deflect,0,155,8,20,-12,-5,2041,Deflect,0,219,8,20,-12,-5,71367
2041,Deflect,0,214,8,20,-12,-5,2048,Deflect,0,150,8,20,-12,-5,71368
2048,Deflect,0,145,8,20,-12,-5,2041,Deflect,0,209,8,20,-12,-5,71369
2041,Coop,0,197,8,20,-12,-5,2048,Deflect,0,165,8,20,-12,-5,71370
