user1_id,choice_type,game_nr,m_points,coopcoop,coopdeflect,deflectcoop,deflectdeflect,user2_id,choice_type2,game2_nr,m_points2,coopcoop2,coopdeflect2,deflectcoop2,deflectdeflect2,ID
2045,Coop,0,108,8,20,-12,-5,2047,Coop,0,108,8,20,-12,-5,74552
2047,Coop,0,116,8,20,-12,-5,2045,Coop,0,116,8,20,-12,-5,74553
2045,Coop,0,124,8,20,-12,-5,2047,Coop,0,124,8,20,-12,-5,74554
2047,Coop,0,132,8,20,-12,-5,2045,Coop,0,132,8,20,-12,-5,74555
2045,Coop,0,140,8,20,-12,-5,2047,Coop,0,140,8,20,-12,-5,74556
2047,Coop,0,148,8,20,-12,-5,2045,Coop,0,148,8,20,-12,-5,74557
2045,Coop,0,156,8,20,-12,-5,2047,Coop,0,156,8,20,-12,-5,74558
2047,Coop,0,164,8,20,-12,-5,2045,Coop,0,164,8,20,-12,-5,74559
2045,Coop,0,172,8,20,-12,-5,2047,Coop,0,172,8,20,-12,-5,74560
2047,Coop,0,180,8,20,-12,-5,2045,Coop,0,180,8,20,-12,-5,74561
2045,Coop,0,188,8,20,-12,-5,2047,Coop,0,188,8,20,-12,-5,74562
2047,Coop,0,196,8,20,-12,-5,2045,Coop,0,196,8,20,-12,-5,74563
2045,Coop,0,204,8,20,-12,-5,2047,Coop,0,204,8,20,-12,-5,74564
2047,Coop,0,212,8,20,-12,-5,2045,Coop,0,212,8,20,-12,-5,74565
2045,Coop,0,220,8,20,-12,-5,2047,Coop,0,220,8,20,-12,-5,74566
2047,Coop,0,228,8,20,-12,-5,2045,Coop,0,228,8,20,-12,-5,74567
2045,Coop,0,236,8,20,-12,-5,2047,Coop,0,236,8,20,-12,-5,74568
2047,Coop,0,244,8,20,-12,-5,2045,Coop,0,244,8,20,-12,-5,74569
2045,Coop,0,252,8,20,-12,-5,2047,Coop,0,252,8,20,-12,-5,74570
2047,Coop,0,260,8,20,-12,-5,2045,Coop,0,260,8,20,-12,-5,74571
