user1_id,choice_type,game_nr,m_points,coopcoop,coopdeflect,deflectcoop,deflectdeflect,user2_id,choice_type2,game2_nr,m_points2,coopcoop2,coopdeflect2,deflectcoop2,deflectdeflect2,ID
2045,Coop,0,88,8,20,-12,-5,2048,Deflect,0,120,8,20,-12,-5,75570
2048,Coop,0,128,8,20,-12,-5,2045,Coop,0,96,8,20,-12,-5,75571
2045,Coop,0,84,8,20,-12,-5,2048,Deflect,0,148,8,20,-12,-5,75572
2048,Coop,0,156,8,20,-12,-5,2045,Coop,0,92,8,20,-12,-5,75573
2045,Coop,0,80,8,20,-12,-5,2048,Deflect,0,176,8,20,-12,-5,75574
2048,Coop,0,184,8,20,-12,-5,2045,Coop,0,88,8,20,-12,-5,75575
2045,Coop,0,76,8,20,-12,-5,2048,Deflect,0,204,8,20,-12,-5,75576
2048,Coop,0,212,8,20,-12,-5,2045,Coop,0,84,8,20,-12,-5,75577
2045,Coop,0,72,8,20,-12,-5,2048,Deflect,0,232,8,20,-12,-5,75578
2048,Coop,0,240,8,20,-12,-5,2045,Coop,0,80,8,20,-12,-5,75579
2045,Coop,0,68,8,20,-12,-5,2048,Deflect,0,260,8,20,-12,-5,75580
2048,Coop,0,268,8,20,-12,-5,2045,Coop,0,76,8,20,-12,-5,75581
2045,Coop,0,64,8,20,-12,-5,2048,Deflect,0,288,8,20,-12,-5,75582
2048,Coop,0,296,8,20,-12,-5,2045,Coop,0,72,8,20,-12,-5,75583
2045,Coop,0,60,8,20,-12,-5,2048,Deflect,0,316,8,20,-12,-5,75584
2048,Coop,0,324,8,20,-12,-5,2045,Coop,0,68,8,20,-12,-5,75585
2045,Coop,0,56,8,20,-12,-5,2048,Deflect,0,344,8,20,-12,-5,75586
2048,Coop,0,352,8,20,-12,-5,2045,Coop,0,64,8,20,-12,-5,75587
2045,Coop,0,52,8,20,-12,-5,2048,Deflect,0,372,8,20,-12,-5,75588
2048,Coop,0,380,8,20,-12,-5,2045,Coop,0,60,8,20,-12,-5,75589
2045,Coop,0,48,8,20,-12,-5,2048,Deflect,0,400,8,20,-12,-5,75590
2048,Coop,0,408,8,20,-12,-5,2045,Coop,0,56,8,20,-12,-5,75591
2045,Coop,0,44,8,20,-12,-5,2048,Deflect,0,428,8,20,-12,-5,75592
2048,Coop,0,436,8,20,-12,-5,2045,Coop,0,52,8,20,-12,-5,75593
2045,Coop,0,40,8,20,-12,-5,2048,Deflect,0,456,8,20,-12,-5,75594
2048,Coop,0,464,8,20,-12,-5,2045,Coop,0,48,8,20,-12,-5,75595
2045,Coop,0,36,8,20,-12,-5,2048,Deflect,0,484,8,20,-12,-5,75596
2048,Coop,0,492,8,20,-12,-5,2045,Coop,0,44,8,20,-12,-5,75597
2045,Coop,0,32,8,20,-12,-5,2048,Deflect,0,512,8,20,-12,-5,75598
2048,Coop,0,520,8,20,-12,-5,2045,Coop,0,40,8,20,-12,-5,75599
2045,Coop,0,28,8,20,-12,-5,2048,Deflect,0,540,8,20,-12,-5,75600
2048,Coop,0,548,8,20,-12,-5,2045,Coop,0,36,8,20,-12,-5,75601
2045,Coop,0,24,8,20,-12,-5,2048,Deflect,0,568,8,20,-12,-5,75602
2048,Coop,0,576,8,20,-12,-5,2045,Coop,0,32,8,20,-12,-5,75603
2045,Coop,0,20,8,20,-12,-5,2048,Deflect,0,596,8,20,-12,-5,75604
2048,Coop,0,604,8,20,-12,-5,2045,Coop,0,28,8,20,-12,-5,75605
2045,Coop,0,16,8,20,-12,-5,2048,Deflect,0,624,8,20,-12,-5,75606
2048,Coop,0,632,8,20,-12,-5,2045,Coop,0,24,8,20,-12,-5,75607
2045,Coop,0,12,8,20,-12,-5,2048,Deflect,0,652,8,20,-12,-5,75608
2048,Coop,0,660,8,20,-12,-5,2045,Coop,0,20,8,20,-12,-5,75609
2045,Coop,0,8,8,20,-12,-5,2048,Deflect,0,680,8,20,-12,-5,75610
2048,Coop,0,688,8,20,-12,-5,2045,Coop,0,16,8,20,-12,-5,75611
2045,Coop,0,4,8,20,-12,-5,2048,Deflect,0,708,8,20,-12,-5,75612
2048,Coop,0,716,8,20,-12,-5,2045,Coop,0,12,8,20,-12,-5,75613
2045,Coop,0,0,8,20,-12,-5,2048,Deflect,0,736,8,20,-12,-5,75614
