user1_id,choice_type,game_nr,m_points,coopcoop,coopdeflect,deflectcoop,deflectdeflect,user2_id,choice_type2,game2_nr,m_points2,coopcoop2,coopdeflect2,deflectcoop2,deflectdeflect2,ID
2043,Coop,0,108,8,20,-12,-5,2051,Coop,0,108,8,20,-12,-5,57035
2051,Coop,0,116,8,20,-12,-5,2043,Coop,0,116,8,20,-12,-5,57036
2043,Coop,0,124,8,20,-12,-5,2051,Coop,0,124,8,20,-12,-5,57037
2051,Coop,0,132,8,20,-12,-5,2043,Coop,0,132,8,20,-12,-5,57038
2043,Coop,0,140,8,20,-12,-5,2051,Coop,0,140,8,20,-12,-5,57039
2051,Coop,0,148,8,20,-12,-5,2043,Coop,0,148,8,20,-12,-5,57040
2043,Coop,0,156,8,20,-12,-5,2051,Coop,0,156,8,20,-12,-5,57041
2051,Coop,0,164,8,20,-12,-5,2043,Coop,0,164,8,20,-12,-5,57042
2043,Coop,0,172,8,20,-12,-5,2051,Coop,0,172,8,20,-12,-5,57043
2051,Coop,0,180,8,20,-12,-5,2043,Coop,0,180,8,20,-12,-5,57044
2043,Coop,0,188,8,20,-12,-5,2051,Coop,0,188,8,20,-12,-5,57045
2051,Coop,0,196,8,20,-12,-5,2043,Coop,0,196,8,20,-12,-5,57046
2043,Coop,0,204,8,20,-12,-5,2051,Coop,0,204,8,20,-12,-5,57047
2051,Coop,0,212,8,20,-12,-5,2043,Coop,0,212,8,20,-12,-5,57048
2043,Coop,0,220,8,20,-12,-5,2051,Coop,0,220,8,20,-12,-5,57049
2051,Coop,0,228,8,20,-12,-5,2043,Coop,0,228,8,20,-12,-5,57050
2043,Coop,0,236,8,20,-12,-5,2051,Coop,0,236,8,20,-12,-5,57051
2051,Coop,0,244,8,20,-12,-5,2043,Coop,0,244,8,20,-12,-5,57052
2043,Coop,0,252,8,20,-12,-5,2051,Coop,0,252,8,20,-12,-5,57053
2051,Coop,0,260,8,20,-12,-5,2043,Coop,0,260,8,20,-12,-5,57054
2043,Coop,0,268,8,20,-12,-5,2051,Coop,0,268,8,20,-12,-5,57055
2051,Coop,0,276,8,20,-12,-5,2043,Coop,0,276,8,20,-12,-5,57056
2043,Coop,0,284,8,20,-12,-5,2051,Coop,0,284,8,20,-12,-5,57057
2051,Coop,0,292,8,20,-12,-5,2043,Coop,0,292,8,20,-12,-5,57058
2043,Coop,0,300,8,20,-12,-5,2051,Coop,0,300,8,20,-12,-5,57059
2051,Coop,0,308,8,20,-12,-5,2043,Coop,0,308,8,20,-12,-5,57060
2043,Coop,0,316,8,20,-12,-5,2051,Coop,0,316,8,20,-12,-5,57061
2051,Coop,0,324,8,20,-12,-5,2043,Coop,0,324,8,20,-12,-5,57062
2043,Coop,0,332,8,20,-12,-5,2051,Coop,0,332,8,20,-12,-5,57063
