user1_id,choice_type,game_nr,m_points,coopcoop,coopdeflect,deflectcoop,deflectdeflect,user2_id,choice_type2,game2_nr,m_points2,coopcoop2,coopdeflect2,deflectcoop2,deflectdeflect2,ID
2046,Deflect,0,95,8,20,-12,-5,2051,Deflect,0,95,8,20,-12,-5,54793
2051,Coop,0,103,8,20,-12,-5,2046,Coop,0,103,8,20,-12,-5,54794
2046,Coop,0,111,8,20,-12,-5,2051,Coop,0,111,8,20,-12,-5,54795
2051,Deflect,0,106,8,20,-12,-5,2046,Deflect,0,106,8,20,-12,-5,54796
2046,Deflect,0,101,8,20,-12,-5,2051,Deflect,0,101,8,20,-12,-5,54797
2051,Deflect,0,96,8,20,-12,-5,2046,Deflect,0,96,8,20,-12,-5,54798
2046,Deflect,0,91,8,20,-12,-5,2051,Deflect,0,91,8,20,-12,-5,54799
2051,Deflect,0,86,8,20,-12,-5,2046,Deflect,0,86,8,20,-12,-5,54800
2046,Deflect,0,81,8,20,-12,-5,2051,Deflect,0,81,8,20,-12,-5,54801
2051,Deflect,0,76,8,20,-12,-5,2046,Deflect,0,76,8,20,-12,-5,54802
2046,Deflect,0,71,8,20,-12,-5,2051,Deflect,0,71,8,20,-12,-5,54803
2051,Deflect,0,66,8,20,-12,-5,2046,Deflect,0,66,8,20,-12,-5,54804
2046,Deflect,0,61,8,20,-12,-5,2051,Deflect,0,61,8,20,-12,-5,54805
2051,Deflect,0,56,8,20,-12,-5,2046,Deflect,0,56,8,20,-12,-5,54806
2046,Deflect,0,51,8,20,-12,-5,2051,Deflect,0,51,8,20,-12,-5,54807
2051,Deflect,0,46,8,20,-12,-5,2046,Deflect,0,46,8,20,-12,-5,54808
2046,Deflect,0,41,8,20,-12,-5,2051,Deflect,0,41,8,20,-12,-5,54809
2051,Deflect,0,36,8,20,-12,-5,2046,Deflect,0,36,8,20,-12,-5,54810
2046,Deflect,0,31,8,20,-12,-5,2051,Deflect,0,31,8,20,-12,-5,54811
2051,Deflect,0,26,8,20,-12,-5,2046,Deflect,0,26,8,20,-12,-5,54812
2046,Deflect,0,21,8,20,-12,-5,2051,Deflect,0,21,8,20,-12,-5,54813
2051,Deflect,0,16,8,20,-12,-5,2046,Deflect,0,16,8,20,-12,-5,54814
2046,Deflect,0,11,8,20,-12,-5,2051,Deflect,0,11,8,20,-12,-5,54815
2051,Deflect,0,6,8,20,-12,-5,2046,Deflect,0,6,8,20,-12,-5,54816
2046,Deflect,0,1,8,20,-12,-5,2051,Deflect,0,1,8,20,-12,-5,54817
2051,Deflect,0,-4,8,20,-12,-5,2046,Deflect,0,-4,8,20,-12,-5,54818
