user1_id,choice_type,game_nr,m_points,coopcoop,coopdeflect,deflectcoop,deflectdeflect,user2_id,choice_type2,game2_nr,m_points2,coopcoop2,coopdeflect2,deflectcoop2,deflectdeflect2,ID
2040,Coop,0,108,8,20,-12,-5,2051,Coop,0,108,8,20,-12,-5,53690
2051,Coop,0,116,8,20,-12,-5,2040,Coop,0,116,8,20,-12,-5,53691
2040,Coop,0,124,8,20,-12,-5,2051,Coop,0,124,8,20,-12,-5,53692
2051,Coop,0,132,8,20,-12,-5,2040,Coop,0,132,8,20,-12,-5,53693
2040,Deflect,0,127,8,20,-12,-5,2051,Deflect,0,127,8,20,-12,-5,53694
2051,Deflect,0,122,8,20,-12,-5,2040,Deflect,0,122,8,20,-12,-5,53695
2040,Deflect,0,117,8,20,-12,-5,2051,Deflect,0,117,8,20,-12,-5,53696
2051,Deflect,0,112,8,20,-12,-5,2040,Deflect,0,112,8,20,-12,-5,53697
2040,Deflect,0,107,8,20,-12,-5,2051,Deflect,0,107,8,20,-12,-5,53698
2051,Deflect,0,102,8,20,-12,-5,2040,Deflect,0,102,8,20,-12,-5,53699
2040,Deflect,0,97,8,20,-12,-5,2051,Deflect,0,97,8,20,-12,-5,53700
2051,Deflect,0,92,8,20,-12,-5,2040,Deflect,0,92,8,20,-12,-5,53701
2040,Deflect,0,87,8,20,-12,-5,2051,Deflect,0,87,8,20,-12,-5,53702
2051,Deflect,0,82,8,20,-12,-5,2040,Deflect,0,82,8,20,-12,-5,53703
2040,Deflect,0,77,8,20,-12,-5,2051,Deflect,0,77,8,20,-12,-5,53704
2051,Deflect,0,72,8,20,-12,-5,2040,Deflect,0,72,8,20,-12,-5,53705
2040,Deflect,0,67,8,20,-12,-5,2051,Deflect,0,67,8,20,-12,-5,53706
2051,Deflect,0,62,8,20,-12,-5,2040,Deflect,0,62,8,20,-12,-5,53707
2040,Deflect,0,57,8,20,-12,-5,2051,Deflect,0,57,8,20,-12,-5,53708
2051,Deflect,0,52,8,20,-12,-5,2040,Deflect,0,52,8,20,-12,-5,53709
2040,Deflect,0,47,8,20,-12,-5,2051,Deflect,0,47,8,20,-12,-5,53710
2051,Deflect,0,42,8,20,-12,-5,2040,Deflect,0,42,8,20,-12,-5,53711
2040,Deflect,0,37,8,20,-12,-5,2051,Deflect,0,37,8,20,-12,-5,53712
2051,Deflect,0,32,8,20,-12,-5,2040,Deflect,0,32,8,20,-12,-5,53713
2040,Deflect,0,27,8,20,-12,-5,2051,Deflect,0,27,8,20,-12,-5,53714
2051,Deflect,0,22,8,20,-12,-5,2040,Deflect,0,22,8,20,-12,-5,53715
2040,Deflect,0,17,8,20,-12,-5,2051,Deflect,0,17,8,20,-12,-5,53716
2051,Deflect,0,12,8,20,-12,-5,2040,Deflect,0,12,8,20,-12,-5,53717
2040,Deflect,0,7,8,20,-12,-5,2051,Deflect,0,7,8,20,-12,-5,53718
2051,Deflect,0,2,8,20,-12,-5,2040,Deflect,0,2,8,20,-12,-5,53719
2040,Deflect,0,-3,8,20,-12,-5,2051,Deflect,0,-3,8,20,-12,-5,53720
