user1_id,choice_type,game_nr,m_points,coopcoop,coopdeflect,deflectcoop,deflectdeflect,user2_id,choice_type2,game2_nr,m_points2,coopcoop2,coopdeflect2,deflectcoop2,deflectdeflect2,ID
2045,Coop,0,108,8,20,-12,-5,2051,Coop,0,108,8,20,-12,-5,59157
2051,Coop,0,116,8,20,-12,-5,2045,Coop,0,116,8,20,-12,-5,59158
2045,Coop,0,124,8,20,-12,-5,2051,Coop,0,124,8,20,-12,-5,59159
2051,Coop,0,132,8,20,-12,-5,2045,Coop,0,132,8,20,-12,-5,59160
2045,Coop,0,140,8,20,-12,-5,2051,Coop,0,140,8,20,-12,-5,59161
2051,Coop,0,148,8,20,-12,-5,2045,Coop,0,148,8,20,-12,-5,59162
2045,Coop,0,156,8,20,-12,-5,2051,Coop,0,156,8,20,-12,-5,59163
2051,Coop,0,164,8,20,-12,-5,2045,Coop,0,164,8,20,-12,-5,59164
2045,Coop,0,172,8,20,-12,-5,2051,Coop,0,172,8,20,-12,-5,59165
2051,Coop,0,180,8,20,-12,-5,2045,Coop,0,180,8,20,-12,-5,59166
2045,Coop,0,188,8,20,-12,-5,2051,Coop,0,188,8,20,-12,-5,59167
2051,Coop,0,196,8,20,-12,-5,2045,Coop,0,196,8,20,-12,-5,59168
2045,Coop,0,204,8,20,-12,-5,2051,Coop,0,204,8,20,-12,-5,59169
2051,Coop,0,212,8,20,-12,-5,2045,Coop,0,212,8,20,-12,-5,59170
2045,Coop,0,220,8,20,-12,-5,2051,Coop,0,220,8,20,-12,-5,59171
2051,Coop,0,228,8,20,-12,-5,2045,Coop,0,228,8,20,-12,-5,59172
2045,Coop,0,236,8,20,-12,-5,2051,Coop,0,236,8,20,-12,-5,59173
2051,Coop,0,244,8,20,-12,-5,2045,Coop,0,244,8,20,-12,-5,59174
2045,Coop,0,252,8,20,-12,-5,2051,Coop,0,252,8,20,-12,-5,59175
2051,Coop,0,260,8,20,-12,-5,2045,Coop,0,260,8,20,-12,-5,59176
2045,Coop,0,268,8,20,-12,-5,2051,Coop,0,268,8,20,-12,-5,59177
2051,Coop,0,276,8,20,-12,-5,2045,Coop,0,276,8,20,-12,-5,59178
2045,Coop,0,284,8,20,-12,-5,2051,Coop,0,284,8,20,-12,-5,59179
2051,Coop,0,292,8,20,-12,-5,2045,Coop,0,292,8,20,-12,-5,59180
2045,Coop,0,300,8,20,-12,-5,2051,Coop,0,300,8,20,-12,-5,59181
2051,Coop,0,308,8,20,-12,-5,2045,Coop,0,308,8,20,-12,-5,59182
2045,Coop,0,316,8,20,-12,-5,2051,Coop,0,316,8,20,-12,-5,59183
2051,Coop,0,324,8,20,-12,-5,2045,Coop,0,324,8,20,-12,-5,59184
2045,Coop,0,332,8,20,-12,-5,2051,Coop,0,332,8,20,-12,-5,59185
2051,Coop,0,340,8,20,-12,-5,2045,Coop,0,340,8,20,-12,-5,59186
2045,Coop,0,348,8,20,-12,-5,2051,Coop,0,348,8,20,-12,-5,59187
2051,Coop,0,356,8,20,-12,-5,2045,Coop,0,356,8,20,-12,-5,59188
2045,Coop,0,364,8,20,-12,-5,2051,Coop,0,364,8,20,-12,-5,59189
2051,Coop,0,372,8,20,-12,-5,2045,Coop,0,372,8,20,-12,-5,59190
2045,Coop,0,380,8,20,-12,-5,2051,Coop,0,380,8,20,-12,-5,59191
2051,Coop,0,388,8,20,-12,-5,2045,Coop,0,388,8,20,-12,-5,59192
2045,Coop,0,396,8,20,-12,-5,2051,Coop,0,396,8,20,-12,-5,59193
2051,Coop,0,404,8,20,-12,-5,2045,Coop,0,404,8,20,-12,-5,59194
2045,Coop,0,412,8,20,-12,-5,2051,Coop,0,412,8,20,-12,-5,59195
2051,Coop,0,420,8,20,-12,-5,2045,Coop,0,420,8,20,-12,-5,59196
2045,Coop,0,428,8,20,-12,-5,2051,Coop,0,428,8,20,-12,-5,59197
2051,Coop,0,436,8,20,-12,-5,2045,Coop,0,436,8,20,-12,-5,59198
2045,Coop,0,444,8,20,-12,-5,2051,Coop,0,444,8,20,-12,-5,59199
2051,Coop,0,452,8,20,-12,-5,2045,Coop,0,452,8,20,-12,-5,59200
2045,Coop,0,460,8,20,-12,-5,2051,Coop,0,460,8,20,-12,-5,59201
2051,Coop,0,468,8,20,-12,-5,2045,Coop,0,468,8,20,-12,-5,59202
2045,Coop,0,476,8,20,-12,-5,2051,Coop,0,476,8,20,-12,-5,59203
2051,Coop,0,484,8,20,-12,-5,2045,Coop,0,484,8,20,-12,-5,59204
2045,Coop,0,492,8,20,-12,-5,2051,Coop,0,492,8,20,-12,-5,59205
2051,Coop,0,500,8,20,-12,-5,2045,Coop,0,500,8,20,-12,-5,59206
2045,Coop,0,508,8,20,-12,-5,2051,Coop,0,508,8,20,-12,-5,59207
2051,Coop,0,516,8,20,-12,-5,2045,Coop,0,516,8,20,-12,-5,59208
2045,Coop,0,524,8,20,-12,-5,2051,Coop,0,524,8,20,-12,-5,59209
2051,Coop,0,532,8,20,-12,-5,2045,Coop,0,532,8,20,-12,-5,59210
2045,Coop,0,540,8,20,-12,-5,2051,Coop,0,540,8,20,-12,-5,59211
2051,Coop,0,548,8,20,-12,-5,2045,Coop,0,548,8,20,-12,-5,59212
2045,Coop,0,556,8,20,-12,-5,2051,Coop,0,556,8,20,-12,-5,59213
2051,Coop,0,564,8,20,-12,-5,2045,Coop,0,564,8,20,-12,-5,59214
2045,Coop,0,572,8,20,-12,-5,2051,Coop,0,572,8,20,-12,-5,59215
2051,Coop,0,580,8,20,-12,-5,2045,Coop,0,580,8,20,-12,-5,59216
2045,Coop,0,588,8,20,-12,-5,2051,Coop,0,588,8,20,-12,-5,59217
2051,Coop,0,596,8,20,-12,-5,2045,Coop,0,596,8,20,-12,-5,59218
2045,Coop,0,604,8,20,-12,-5,2051,Coop,0,604,8,20,-12,-5,59219
2051,Coop,0,612,8,20,-12,-5,2045,Coop,0,612,8,20,-12,-5,59220
2045,Coop,0,620,8,20,-12,-5,2051,Coop,0,620,8,20,-12,-5,59221
2051,Coop,0,628,8,20,-12,-5,2045,Coop,0,628,8,20,-12,-5,59222
2045,Coop,0,636,8,20,-12,-5,2051,Coop,0,636,8,20,-12,-5,59223
2051,Coop,0,644,8,20,-12,-5,2045,Coop,0,644,8,20,-12,-5,59224
2045,Coop,0,652,8,20,-12,-5,2051,Coop,0,652,8,20,-12,-5,59225
2051,Coop,0,660,8,20,-12,-5,2045,Coop,0,660,8,20,-12,-5,59226
2045,Coop,0,668,8,20,-12,-5,2051,Coop,0,668,8,20,-12,-5,59227
2051,Coop,0,676,8,20,-12,-5,2045,Coop,0,676,8,20,-12,-5,59228
2045,Coop,0,684,8,20,-12,-5,2051,Coop,0,684,8,20,-12,-5,59229
2051,Coop,0,692,8,20,-12,-5,2045,Coop,0,692,8,20,-12,-5,59230
2045,Coop,0,700,8,20,-12,-5,2051,Coop,0,700,8,20,-12,-5,59231
