user1_id,choice_type,game_nr,m_points,coopcoop,coopdeflect,deflectcoop,deflectdeflect,user2_id,choice_type2,game2_nr,m_points2,coopcoop2,coopdeflect2,deflectcoop2,deflectdeflect2,ID
2040,Coop,0,88,8,20,-12,-5,2046,Deflect,0,120,8,20,-12,-5,70113
2046,Coop,0,108,8,20,-12,-5,2040,Deflect,0,108,8,20,-12,-5,70114
2040,Coop,0,116,8,20,-12,-5,2046,Coop,0,116,8,20,-12,-5,70115
2046,Coop,0,124,8,20,-12,-5,2040,Coop,0,124,8,20,-12,-5,70116
2040,Deflect,0,144,8,20,-12,-5,2046,Coop,0,112,8,20,-12,-5,70117
2046,Deflect,0,132,8,20,-12,-5,2040,Coop,0,132,8,20,-12,-5,70118
2040,Deflect,0,152,8,20,-12,-5,2046,Coop,0,120,8,20,-12,-5,70119
2046,Deflect,0,140,8,20,-12,-5,2040,Coop,0,140,8,20,-12,-5,70120
2040,Deflect,0,160,8,20,-12,-5,2046,Coop,0,128,8,20,-12,-5,70121
2046,Deflect,0,123,8,20,-12,-5,2040,Deflect,0,155,8,20,-12,-5,70122
2040,Deflect,0,150,8,20,-12,-5,2046,Deflect,0,118,8,20,-12,-5,70123
2046,Deflect,0,113,8,20,-12,-5,2040,Deflect,0,145,8,20,-12,-5,70124
2040,Deflect,0,140,8,20,-12,-5,2046,Deflect,0,108,8,20,-12,-5,70125
2046,Deflect,0,103,8,20,-12,-5,2040,Deflect,0,135,8,20,-12,-5,70126
2040,Deflect,0,130,8,20,-12,-5,2046,Deflect,0,98,8,20,-12,-5,70127
2046,Deflect,0,93,8,20,-12,-5,2040,Deflect,0,125,8,20,-12,-5,70128
2040,Deflect,0,120,8,20,-12,-5,2046,Deflect,0,88,8,20,-12,-5,70129
2046,Deflect,0,83,8,20,-12,-5,2040,Deflect,0,115,8,20,-12,-5,70130
2040,Deflect,0,110,8,20,-12,-5,2046,Deflect,0,78,8,20,-12,-5,70131
2046,Deflect,0,73,8,20,-12,-5,2040,Deflect,0,105,8,20,-12,-5,70132
2040,Deflect,0,100,8,20,-12,-5,2046,Deflect,0,68,8,20,-12,-5,70133
2046,Deflect,0,63,8,20,-12,-5,2040,Deflect,0,95,8,20,-12,-5,70134
2040,Deflect,0,90,8,20,-12,-5,2046,Deflect,0,58,8,20,-12,-5,70135
2046,Deflect,0,53,8,20,-12,-5,2040,Deflect,0,85,8,20,-12,-5,70136
2040,Deflect,0,80,8,20,-12,-5,2046,Deflect,0,48,8,20,-12,-5,70137
2046,Deflect,0,43,8,20,-12,-5,2040,Deflect,0,75,8,20,-12,-5,70138
2040,Deflect,0,70,8,20,-12,-5,2046,Deflect,0,38,8,20,-12,-5,70139
2046,Deflect,0,33,8,20,-12,-5,2040,Deflect,0,65,8,20,-12,-5,70140
2040,Deflect,0,60,8,20,-12,-5,2046,Deflect,0,28,8,20,-12,-5,70141
2046,Deflect,0,23,8,20,-12,-5,2040,Deflect,0,55,8,20,-12,-5,70142
2040,Deflect,0,50,8,20,-12,-5,2046,Deflect,0,18,8,20,-12,-5,70143
2046,Deflect,0,13,8,20,-12,-5,2040,Deflect,0,45,8,20,-12,-5,70144
2040,Deflect,0,40,8,20,-12,-5,2046,Deflect,0,8,8,20,-12,-5,70145
2046,Deflect,0,3,8,20,-12,-5,2040,Deflect,0,35,8,20,-12,-5,70146
2040,Deflect,0,30,8,20,-12,-5,2046,Deflect,0,-2,8,20,-12,-5,70147
