user1_id,choice_type,game_nr,m_points,coopcoop,coopdeflect,deflectcoop,deflectdeflect,user2_id,choice_type2,game2_nr,m_points2,coopcoop2,coopdeflect2,deflectcoop2,deflectdeflect2,ID
2040,Coop,0,108,8,20,-12,-5,2043,Coop,0,108,8,20,-12,-5,67774
2043,Coop,0,116,8,20,-12,-5,2040,Coop,0,116,8,20,-12,-5,67775
2040,Coop,0,124,8,20,-12,-5,2043,Coop,0,124,8,20,-12,-5,67776
2043,Coop,0,132,8,20,-12,-5,2040,Coop,0,132,8,20,-12,-5,67777
2040,Deflect,0,152,8,20,-12,-5,2043,Coop,0,120,8,20,-12,-5,67778
2043,Coop,0,128,8,20,-12,-5,2040,Coop,0,160,8,20,-12,-5,67779
2040,Coop,0,168,8,20,-12,-5,2043,Coop,0,136,8,20,-12,-5,67780
2043,Coop,0,144,8,20,-12,-5,2040,Coop,0,176,8,20,-12,-5,67781
2040,Coop,0,184,8,20,-12,-5,2043,Coop,0,152,8,20,-12,-5,67782
2043,Coop,0,140,8,20,-12,-5,2040,Deflect,0,204,8,20,-12,-5,67783
2040,Coop,0,212,8,20,-12,-5,2043,Coop,0,148,8,20,-12,-5,67784
2043,Coop,0,156,8,20,-12,-5,2040,Coop,0,220,8,20,-12,-5,67785
2040,Coop,0,228,8,20,-12,-5,2043,Coop,0,164,8,20,-12,-5,67786
2043,Coop,0,172,8,20,-12,-5,2040,Coop,0,236,8,20,-12,-5,67787
2040,Deflect,0,256,8,20,-12,-5,2043,Coop,0,160,8,20,-12,-5,67788
2043,Coop,0,168,8,20,-12,-5,2040,Coop,0,264,8,20,-12,-5,67789
2040,Coop,0,272,8,20,-12,-5,2043,Coop,0,176,8,20,-12,-5,67790
2043,Coop,0,184,8,20,-12,-5,2040,Coop,0,280,8,20,-12,-5,67791
2040,Coop,0,288,8,20,-12,-5,2043,Coop,0,192,8,20,-12,-5,67792
2043,Coop,0,180,8,20,-12,-5,2040,Deflect,0,308,8,20,-12,-5,67793
2040,Coop,0,316,8,20,-12,-5,2043,Coop,0,188,8,20,-12,-5,67794
2043,Coop,0,196,8,20,-12,-5,2040,Coop,0,324,8,20,-12,-5,67795
2040,Coop,0,332,8,20,-12,-5,2043,Coop,0,204,8,20,-12,-5,67796
2043,Coop,0,212,8,20,-12,-5,2040,Coop,0,340,8,20,-12,-5,67797
2040,Deflect,0,360,8,20,-12,-5,2043,Coop,0,200,8,20,-12,-5,67798
2043,Coop,0,208,8,20,-12,-5,2040,Coop,0,368,8,20,-12,-5,67799
2040,Coop,0,376,8,20,-12,-5,2043,Coop,0,216,8,20,-12,-5,67800
2043,Coop,0,224,8,20,-12,-5,2040,Coop,0,384,8,20,-12,-5,67801
