user1_id,choice_type,game_nr,m_points,coopcoop,coopdeflect,deflectcoop,deflectdeflect,user2_id,choice_type2,game2_nr,m_points2,coopcoop2,coopdeflect2,deflectcoop2,deflectdeflect2,ID
2040,Coop,0,108,8,20,-12,-5,2047,Coop,0,108,8,20,-12,-5,70148
2047,Coop,0,116,8,20,-12,-5,2040,Coop,0,116,8,20,-12,-5,70149
2040,Coop,0,124,8,20,-12,-5,2047,Coop,0,124,8,20,-12,-5,70150
2047,Coop,0,132,8,20,-12,-5,2040,Coop,0,132,8,20,-12,-5,70151
2040,Deflect,0,152,8,20,-12,-5,2047,Coop,0,120,8,20,-12,-5,70152
2047,Deflect,0,140,8,20,-12,-5,2040,Coop,0,140,8,20,-12,-5,70153
2040,Deflect,0,135,8,20,-12,-5,2047,Deflect,0,135,8,20,-12,-5,70154
2047,Deflect,0,130,8,20,-12,-5,2040,Deflect,0,130,8,20,-12,-5,70155
2040,Deflect,0,125,8,20,-12,-5,2047,Deflect,0,125,8,20,-12,-5,70156
2047,Deflect,0,120,8,20,-12,-5,2040,Deflect,0,120,8,20,-12,-5,70157
2040,Deflect,0,115,8,20,-12,-5,2047,Deflect,0,115,8,20,-12,-5,70158
2047,Deflect,0,110,8,20,-12,-5,2040,Deflect,0,110,8,20,-12,-5,70159
2040,Deflect,0,105,8,20,-12,-5,2047,Deflect,0,105,8,20,-12,-5,70160
2047,Deflect,0,100,8,20,-12,-5,2040,Deflect,0,100,8,20,-12,-5,70161
2040,Deflect,0,95,8,20,-12,-5,2047,Deflect,0,95,8,20,-12,-5,70162
2047,Deflect,0,90,8,20,-12,-5,2040,Deflect,0,90,8,20,-12,-5,70163
2040,Deflect,0,85,8,20,-12,-5,2047,Deflect,0,85,8,20,-12,-5,70164
2047,Deflect,0,80,8,20,-12,-5,2040,Deflect,0,80,8,20,-12,-5,70165
2040,Deflect,0,75,8,20,-12,-5,2047,Deflect,0,75,8,20,-12,-5,70166
2047,Deflect,0,70,8,20,-12,-5,2040,Deflect,0,70,8,20,-12,-5,70167
2040,Deflect,0,65,8,20,-12,-5,2047,Deflect,0,65,8,20,-12,-5,70168
2047,Deflect,0,60,8,20,-12,-5,2040,Deflect,0,60,8,20,-12,-5,70169
2040,Deflect,0,55,8,20,-12,-5,2047,Deflect,0,55,8,20,-12,-5,70170
2047,Deflect,0,50,8,20,-12,-5,2040,Deflect,0,50,8,20,-12,-5,70171
2040,Deflect,0,45,8,20,-12,-5,2047,Deflect,0,45,8,20,-12,-5,70172
2047,Deflect,0,40,8,20,-12,-5,2040,Deflect,0,40,8,20,-12,-5,70173
2040,Deflect,0,35,8,20,-12,-5,2047,Deflect,0,35,8,20,-12,-5,70174
2047,Deflect,0,30,8,20,-12,-5,2040,Deflect,0,30,8,20,-12,-5,70175
2040,Deflect,0,25,8,20,-12,-5,2047,Deflect,0,25,8,20,-12,-5,70176
2047,Deflect,0,20,8,20,-12,-5,2040,Deflect,0,20,8,20,-12,-5,70177
2040,Deflect,0,15,8,20,-12,-5,2047,Deflect,0,15,8,20,-12,-5,70178
2047,Deflect,0,10,8,20,-12,-5,2040,Deflect,0,10,8,20,-12,-5,70179
2040,Deflect,0,5,8,20,-12,-5,2047,Deflect,0,5,8,20,-12,-5,70180
2047,Deflect,0,0,8,20,-12,-5,2040,Deflect,0,0,8,20,-12,-5,70181
