user1_id,choice_type,game_nr,m_points,coopcoop,coopdeflect,deflectcoop,deflectdeflect,user2_id,choice_type2,game2_nr,m_points2,coopcoop2,coopdeflect2,deflectcoop2,deflectdeflect2,ID
2040,Coop,0,88,8,20,-12,-5,2041,Deflect,0,120,8,20,-12,-5,67425
2041,Coop,0,108,8,20,-12,-5,2040,Deflect,0,108,8,20,-12,-5,67426
2040,Coop,0,96,8,20,-12,-5,2041,Deflect,0,128,8,20,-12,-5,67427
2041,Deflect,0,123,8,20,-12,-5,2040,Deflect,0,91,8,20,-12,-5,67428
2040,Deflect,0,86,8,20,-12,-5,2041,Deflect,0,118,8,20,-12,-5,67429
2041,Coop,0,106,8,20,-12,-5,2040,Deflect,0,106,8,20,-12,-5,67430
2040,Coop,0,94,8,20,-12,-5,2041,Deflect,0,126,8,20,-12,-5,67431
2041,Deflect,0,121,8,20,-12,-5,2040,Deflect,0,89,8,20,-12,-5,67432
2040,Deflect,0,84,8,20,-12,-5,2041,Deflect,0,116,8,20,-12,-5,67433
2041,Coop,0,104,8,20,-12,-5,2040,Deflect,0,104,8,20,-12,-5,67434
2040,Coop,0,92,8,20,-12,-5,2041,Deflect,0,124,8,20,-12,-5,67435
2041,Deflect,0,119,8,20,-12,-5,2040,Deflect,0,87,8,20,-12,-5,67436
2040,Deflect,0,82,8,20,-12,-5,2041,Deflect,0,114,8,20,-12,-5,67437
2041,Coop,0,102,8,20,-12,-5,2040,Deflect,0,102,8,20,-12,-5,67438
2040,Deflect,0,97,8,20,-12,-5,2041,Deflect,0,97,8,20,-12,-5,67439
2041,Deflect,0,92,8,20,-12,-5,2040,Deflect,0,92,8,20,-12,-5,67440
2040,Deflect,0,87,8,20,-12,-5,2041,Deflect,0,87,8,20,-12,-5,67441
2041,Deflect,0,82,8,20,-12,-5,2040,Deflect,0,82,8,20,-12,-5,67442
2040,Deflect,0,77,8,20,-12,-5,2041,Deflect,0,77,8,20,-12,-5,67443
2041,Coop,0,65,8,20,-12,-5,2040,Deflect,0,97,8,20,-12,-5,67444
2040,Coop,0,105,8,20,-12,-5,2041,Coop,0,73,8,20,-12,-5,67445
2041,Deflect,0,93,8,20,-12,-5,2040,Coop,0,93,8,20,-12,-5,67446
2040,Deflect,0,88,8,20,-12,-5,2041,Deflect,0,88,8,20,-12,-5,67447
2041,Deflect,0,83,8,20,-12,-5,2040,Deflect,0,83,8,20,-12,-5,67448
2040,Deflect,0,78,8,20,-12,-5,2041,Deflect,0,78,8,20,-12,-5,67449
2041,Deflect,0,73,8,20,-12,-5,2040,Deflect,0,73,8,20,-12,-5,67450
2040,Deflect,0,93,8,20,-12,-5,2041,Coop,0,61,8,20,-12,-5,67451
2041,Deflect,0,81,8,20,-12,-5,2040,Coop,0,81,8,20,-12,-5,67452
2040,Deflect,0,101,8,20,-12,-5,2041,Coop,0,69,8,20,-12,-5,67453
2041,Coop,0,57,8,20,-12,-5,2040,Deflect,0,121,8,20,-12,-5,67454
2040,Coop,0,129,8,20,-12,-5,2041,Coop,0,65,8,20,-12,-5,67455
2041,Coop,0,73,8,20,-12,-5,2040,Coop,0,137,8,20,-12,-5,67456
2040,Coop,0,145,8,20,-12,-5,2041,Coop,0,81,8,20,-12,-5,67457
2041,Coop,0,89,8,20,-12,-5,2040,Coop,0,153,8,20,-12,-5,67458
2040,Deflect,0,148,8,20,-12,-5,2041,Deflect,0,84,8,20,-12,-5,67459
2041,Coop,0,72,8,20,-12,-5,2040,Deflect,0,168,8,20,-12,-5,67460
2040,Coop,0,156,8,20,-12,-5,2041,Deflect,0,92,8,20,-12,-5,67461
2041,Deflect,0,87,8,20,-12,-5,2040,Deflect,0,151,8,20,-12,-5,67462
2040,Deflect,0,146,8,20,-12,-5,2041,Deflect,0,82,8,20,-12,-5,67463
2041,Coop,0,70,8,20,-12,-5,2040,Deflect,0,166,8,20,-12,-5,67464
2040,Coop,0,174,8,20,-12,-5,2041,Coop,0,78,8,20,-12,-5,67465
2041,Deflect,0,98,8,20,-12,-5,2040,Coop,0,162,8,20,-12,-5,67466
2040,Deflect,0,182,8,20,-12,-5,2041,Coop,0,86,8,20,-12,-5,67467
2041,Coop,0,94,8,20,-12,-5,2040,Coop,0,190,8,20,-12,-5,67468
2040,Deflect,0,210,8,20,-12,-5,2041,Coop,0,82,8,20,-12,-5,67469
2041,Coop,0,90,8,20,-12,-5,2040,Coop,0,218,8,20,-12,-5,67470
2040,Coop,0,206,8,20,-12,-5,2041,Deflect,0,110,8,20,-12,-5,67471
2041,Coop,0,98,8,20,-12,-5,2040,Deflect,0,226,8,20,-12,-5,67472
2040,Coop,0,214,8,20,-12,-5,2041,Deflect,0,118,8,20,-12,-5,67473
2041,Coop,0,106,8,20,-12,-5,2040,Deflect,0,234,8,20,-12,-5,67474
2040,Coop,0,242,8,20,-12,-5,2041,Coop,0,114,8,20,-12,-5,67475
2041,Deflect,0,134,8,20,-12,-5,2040,Coop,0,230,8,20,-12,-5,67476
2040,Deflect,0,225,8,20,-12,-5,2041,Deflect,0,129,8,20,-12,-5,67477
2041,Coop,0,117,8,20,-12,-5,2040,Deflect,0,245,8,20,-12,-5,67478
2040,Deflect,0,265,8,20,-12,-5,2041,Coop,0,105,8,20,-12,-5,67479
2041,Deflect,0,125,8,20,-12,-5,2040,Coop,0,253,8,20,-12,-5,67480
2040,Deflect,0,248,8,20,-12,-5,2041,Deflect,0,120,8,20,-12,-5,67481
2041,Coop,0,108,8,20,-12,-5,2040,Deflect,0,268,8,20,-12,-5,67482
2040,Coop,0,276,8,20,-12,-5,2041,Coop,0,116,8,20,-12,-5,67483
2041,Coop,0,104,8,20,-12,-5,2040,Deflect,0,296,8,20,-12,-5,67484
2040,Coop,0,304,8,20,-12,-5,2041,Coop,0,112,8,20,-12,-5,67485
2041,Deflect,0,132,8,20,-12,-5,2040,Coop,0,292,8,20,-12,-5,67486
2040,Deflect,0,312,8,20,-12,-5,2041,Coop,0,120,8,20,-12,-5,67487
2041,Coop,0,128,8,20,-12,-5,2040,Coop,0,320,8,20,-12,-5,67488
2040,Deflect,0,315,8,20,-12,-5,2041,Deflect,0,123,8,20,-12,-5,67489
2041,Coop,0,111,8,20,-12,-5,2040,Deflect,0,335,8,20,-12,-5,67490
2040,Coop,0,323,8,20,-12,-5,2041,Deflect,0,131,8,20,-12,-5,67491
2041,Coop,0,119,8,20,-12,-5,2040,Deflect,0,343,8,20,-12,-5,67492
2040,Coop,0,351,8,20,-12,-5,2041,Coop,0,127,8,20,-12,-5,67493
2041,Coop,0,115,8,20,-12,-5,2040,Deflect,0,371,8,20,-12,-5,67494
2040,Coop,0,359,8,20,-12,-5,2041,Deflect,0,135,8,20,-12,-5,67495
2041,Deflect,0,130,8,20,-12,-5,2040,Deflect,0,354,8,20,-12,-5,67496
2040,Deflect,0,349,8,20,-12,-5,2041,Deflect,0,125,8,20,-12,-5,67497
2041,Coop,0,113,8,20,-12,-5,2040,Deflect,0,369,8,20,-12,-5,67498
2040,Deflect,0,389,8,20,-12,-5,2041,Coop,0,101,8,20,-12,-5,67499
2041,Deflect,0,121,8,20,-12,-5,2040,Coop,0,377,8,20,-12,-5,67500
2040,Deflect,0,372,8,20,-12,-5,2041,Deflect,0,116,8,20,-12,-5,67501
2041,Coop,0,104,8,20,-12,-5,2040,Deflect,0,392,8,20,-12,-5,67502
2040,Coop,0,380,8,20,-12,-5,2041,Deflect,0,124,8,20,-12,-5,67503
2041,Coop,0,112,8,20,-12,-5,2040,Deflect,0,400,8,20,-12,-5,67504
2040,Coop,0,388,8,20,-12,-5,2041,Deflect,0,132,8,20,-12,-5,67505
2041,Deflect,0,127,8,20,-12,-5,2040,Deflect,0,383,8,20,-12,-5,67506
2040,Deflect,0,378,8,20,-12,-5,2041,Deflect,0,122,8,20,-12,-5,67507
2041,Deflect,0,117,8,20,-12,-5,2040,Deflect,0,373,8,20,-12,-5,67508
2040,Deflect,0,368,8,20,-12,-5,2041,Deflect,0,112,8,20,-12,-5,67509
2041,Coop,0,100,8,20,-12,-5,2040,Deflect,0,388,8,20,-12,-5,67510
2040,Coop,0,376,8,20,-12,-5,2041,Deflect,0,120,8,20,-12,-5,67511
2041,Deflect,0,115,8,20,-12,-5,2040,Deflect,0,371,8,20,-12,-5,67512
2040,Deflect,0,391,8,20,-12,-5,2041,Coop,0,103,8,20,-12,-5,67513
2041,Coop,0,91,8,20,-12,-5,2040,Deflect,0,411,8,20,-12,-5,67514
2040,Coop,0,399,8,20,-12,-5,2041,Deflect,0,111,8,20,-12,-5,67515
2041,Deflect,0,106,8,20,-12,-5,2040,Deflect,0,394,8,20,-12,-5,67516
2040,Deflect,0,414,8,20,-12,-5,2041,Coop,0,94,8,20,-12,-5,67517
