user1_id,choice_type,game_nr,m_points,coopcoop,coopdeflect,deflectcoop,deflectdeflect,user2_id,choice_type2,game2_nr,m_points2,coopcoop2,coopdeflect2,deflectcoop2,deflectdeflect2,ID
2039,Coop,0,88,8,20,-12,-5,2041,Deflect,0,120,8,20,-12,-5,64365
2041,Coop,0,108,8,20,-12,-5,2039,Deflect,0,108,8,20,-12,-5,64366
2039,Coop,0,116,8,20,-12,-5,2041,Coop,0,116,8,20,-12,-5,64367
2041,Coop,0,124,8,20,-12,-5,2039,Coop,0,124,8,20,-12,-5,64368
2039,Coop,0,132,8,20,-12,-5,2041,Coop,0,132,8,20,-12,-5,64369
2041,Coop,0,140,8,20,-12,-5,2039,Coop,0,140,8,20,-12,-5,64370
2039,Coop,0,148,8,20,-12,-5,2041,Coop,0,148,8,20,-12,-5,64371
2041,Coop,0,156,8,20,-12,-5,2039,Coop,0,156,8,20,-12,-5,64372
2039,Coop,0,144,8,20,-12,-5,2041,Deflect,0,176,8,20,-12,-5,64373
2041,Deflect,0,171,8,20,-12,-5,2039,Deflect,0,139,8,20,-12,-5,64374
2039,Deflect,0,134,8,20,-12,-5,2041,Deflect,0,166,8,20,-12,-5,64375
2041,Coop,0,154,8,20,-12,-5,2039,Deflect,0,154,8,20,-12,-5,64376
2039,Coop,0,162,8,20,-12,-5,2041,Coop,0,162,8,20,-12,-5,64377
2041,Deflect,0,182,8,20,-12,-5,2039,Coop,0,150,8,20,-12,-5,64378
2039,Deflect,0,145,8,20,-12,-5,2041,Deflect,0,177,8,20,-12,-5,64379
2041,Deflect,0,172,8,20,-12,-5,2039,Deflect,0,140,8,20,-12,-5,64380
2039,Deflect,0,160,8,20,-12,-5,2041,Coop,0,160,8,20,-12,-5,64381
2041,Coop,0,168,8,20,-12,-5,2039,Coop,0,168,8,20,-12,-5,64382
2039,Coop,0,156,8,20,-12,-5,2041,Deflect,0,188,8,20,-12,-5,64383
2041,Deflect,0,183,8,20,-12,-5,2039,Deflect,0,151,8,20,-12,-5,64384
2039,Deflect,0,171,8,20,-12,-5,2041,Coop,0,171,8,20,-12,-5,64385
2041,Coop,0,179,8,20,-12,-5,2039,Coop,0,179,8,20,-12,-5,64386
