user1_id,choice_type,game_nr,m_points,coopcoop,coopdeflect,deflectcoop,deflectdeflect,user2_id,choice_type2,game2_nr,m_points2,coopcoop2,coopdeflect2,deflectcoop2,deflectdeflect2,ID
2039,Coop,0,108,8,20,-12,-5,2045,Coop,0,108,8,20,-12,-5,65397
2045,Coop,0,116,8,20,-12,-5,2039,Coop,0,116,8,20,-12,-5,65398
2039,Coop,0,124,8,20,-12,-5,2045,Coop,0,124,8,20,-12,-5,65399
2045,Coop,0,132,8,20,-12,-5,2039,Coop,0,132,8,20,-12,-5,65400
2039,Coop,0,140,8,20,-12,-5,2045,Coop,0,140,8,20,-12,-5,65401
2045,Coop,0,148,8,20,-12,-5,2039,Coop,0,148,8,20,-12,-5,65402
2039,Coop,0,156,8,20,-12,-5,2045,Coop,0,156,8,20,-12,-5,65403
2045,Coop,0,164,8,20,-12,-5,2039,Coop,0,164,8,20,-12,-5,65404
2039,Coop,0,172,8,20,-12,-5,2045,Coop,0,172,8,20,-12,-5,65405
2045,Coop,0,180,8,20,-12,-5,2039,Coop,0,180,8,20,-12,-5,65406
2039,Coop,0,188,8,20,-12,-5,2045,Coop,0,188,8,20,-12,-5,65407
2045,Coop,0,196,8,20,-12,-5,2039,Coop,0,196,8,20,-12,-5,65408
2039,Coop,0,204,8,20,-12,-5,2045,Coop,0,204,8,20,-12,-5,65409
2045,Coop,0,212,8,20,-12,-5,2039,Coop,0,212,8,20,-12,-5,65410
2039,Coop,0,220,8,20,-12,-5,2045,Coop,0,220,8,20,-12,-5,65411
2045,Coop,0,228,8,20,-12,-5,2039,Coop,0,228,8,20,-12,-5,65412
2039,Coop,0,236,8,20,-12,-5,2045,Coop,0,236,8,20,-12,-5,65413
2045,Coop,0,244,8,20,-12,-5,2039,Coop,0,244,8,20,-12,-5,65414
2039,Coop,0,252,8,20,-12,-5,2045,Coop,0,252,8,20,-12,-5,65415
2045,Coop,0,260,8,20,-12,-5,2039,Coop,0,260,8,20,-12,-5,65416
2039,Coop,0,268,8,20,-12,-5,2045,Coop,0,268,8,20,-12,-5,65417
2045,Coop,0,276,8,20,-12,-5,2039,Coop,0,276,8,20,-12,-5,65418
2039,Coop,0,284,8,20,-12,-5,2045,Coop,0,284,8,20,-12,-5,65419
2045,Coop,0,292,8,20,-12,-5,2039,Coop,0,292,8,20,-12,-5,65420
2039,Coop,0,300,8,20,-12,-5,2045,Coop,0,300,8,20,-12,-5,65421
2045,Coop,0,308,8,20,-12,-5,2039,Coop,0,308,8,20,-12,-5,65422
2039,Coop,0,316,8,20,-12,-5,2045,Coop,0,316,8,20,-12,-5,65423
2045,Coop,0,324,8,20,-12,-5,2039,Coop,0,324,8,20,-12,-5,65424
2039,Coop,0,332,8,20,-12,-5,2045,Coop,0,332,8,20,-12,-5,65425
2045,Coop,0,340,8,20,-12,-5,2039,Coop,0,340,8,20,-12,-5,65426
2039,Coop,0,348,8,20,-12,-5,2045,Coop,0,348,8,20,-12,-5,65427
2045,Coop,0,356,8,20,-12,-5,2039,Coop,0,356,8,20,-12,-5,65428
2039,Coop,0,364,8,20,-12,-5,2045,Coop,0,364,8,20,-12,-5,65429
