user1_id,choice_type,game_nr,m_points,coopcoop,coopdeflect,deflectcoop,deflectdeflect,user2_id,choice_type2,game2_nr,m_points2,coopcoop2,coopdeflect2,deflectcoop2,deflectdeflect2,ID
2039,Coop,0,108,8,20,-12,-5,2043,Coop,0,108,8,20,-12,-5,62255
2043,Coop,0,116,8,20,-12,-5,2039,Coop,0,116,8,20,-12,-5,62256
2039,Coop,0,124,8,20,-12,-5,2043,Coop,0,124,8,20,-12,-5,62257
2043,Coop,0,132,8,20,-12,-5,2039,Coop,0,132,8,20,-12,-5,62258
2039,Coop,0,140,8,20,-12,-5,2043,Coop,0,140,8,20,-12,-5,62259
2043,Coop,0,148,8,20,-12,-5,2039,Coop,0,148,8,20,-12,-5,62260
2039,Coop,0,156,8,20,-12,-5,2043,Coop,0,156,8,20,-12,-5,62261
2043,Coop,0,164,8,20,-12,-5,2039,Coop,0,164,8,20,-12,-5,62262
2039,Coop,0,172,8,20,-12,-5,2043,Coop,0,172,8,20,-12,-5,62263
2043,Coop,0,180,8,20,-12,-5,2039,Coop,0,180,8,20,-12,-5,62264
2039,Coop,0,188,8,20,-12,-5,2043,Coop,0,188,8,20,-12,-5,62265
2043,Coop,0,196,8,20,-12,-5,2039,Coop,0,196,8,20,-12,-5,62266
2039,Coop,0,204,8,20,-12,-5,2043,Coop,0,204,8,20,-12,-5,62267
2043,Coop,0,212,8,20,-12,-5,2039,Coop,0,212,8,20,-12,-5,62268
2039,Coop,0,220,8,20,-12,-5,2043,Coop,0,220,8,20,-12,-5,62269
2043,Coop,0,228,8,20,-12,-5,2039,Coop,0,228,8,20,-12,-5,62270
2039,Coop,0,236,8,20,-12,-5,2043,Coop,0,236,8,20,-12,-5,62271
2043,Coop,0,244,8,20,-12,-5,2039,Coop,0,244,8,20,-12,-5,62272
2039,Coop,0,252,8,20,-12,-5,2043,Coop,0,252,8,20,-12,-5,62273
2043,Coop,0,260,8,20,-12,-5,2039,Coop,0,260,8,20,-12,-5,62274
2039,Coop,0,268,8,20,-12,-5,2043,Coop,0,268,8,20,-12,-5,62275
2043,Coop,0,276,8,20,-12,-5,2039,Coop,0,276,8,20,-12,-5,62276
2039,Coop,0,284,8,20,-12,-5,2043,Coop,0,284,8,20,-12,-5,62277
2043,Coop,0,292,8,20,-12,-5,2039,Coop,0,292,8,20,-12,-5,62278
2039,Coop,0,300,8,20,-12,-5,2043,Coop,0,300,8,20,-12,-5,62279
2043,Coop,0,308,8,20,-12,-5,2039,Coop,0,308,8,20,-12,-5,62280
2039,Coop,0,316,8,20,-12,-5,2043,Coop,0,316,8,20,-12,-5,62281
2043,Coop,0,324,8,20,-12,-5,2039,Coop,0,324,8,20,-12,-5,62282
2039,Coop,0,332,8,20,-12,-5,2043,Coop,0,332,8,20,-12,-5,62283
2043,Coop,0,340,8,20,-12,-5,2039,Coop,0,340,8,20,-12,-5,62284
2039,Coop,0,348,8,20,-12,-5,2043,Coop,0,348,8,20,-12,-5,62285
2043,Coop,0,356,8,20,-12,-5,2039,Coop,0,356,8,20,-12,-5,62286
2039,Coop,0,364,8,20,-12,-5,2043,Coop,0,364,8,20,-12,-5,62287
2043,Coop,0,372,8,20,-12,-5,2039,Coop,0,372,8,20,-12,-5,62288
