user1_id,choice_type,game_nr,m_points,coopcoop,coopdeflect,deflectcoop,deflectdeflect,user2_id,choice_type2,game2_nr,m_points2,coopcoop2,coopdeflect2,deflectcoop2,deflectdeflect2,ID
2048,Deflect,0,95,8,20,-12,-5,2051,Deflect,0,95,8,20,-12,-5,61185
2051,Coop,0,103,8,20,-12,-5,2048,Coop,0,103,8,20,-12,-5,61186
2048,Deflect,0,98,8,20,-12,-5,2051,Deflect,0,98,8,20,-12,-5,61187
2051,Coop,0,106,8,20,-12,-5,2048,Coop,0,106,8,20,-12,-5,61188
2048,Deflect,0,101,8,20,-12,-5,2051,Deflect,0,101,8,20,-12,-5,61189
2051,Coop,0,109,8,20,-12,-5,2048,Coop,0,109,8,20,-12,-5,61190
2048,Deflect,0,104,8,20,-12,-5,2051,Deflect,0,104,8,20,-12,-5,61191
2051,Coop,0,112,8,20,-12,-5,2048,Coop,0,112,8,20,-12,-5,61192
2048,Deflect,0,107,8,20,-12,-5,2051,Deflect,0,107,8,20,-12,-5,61193
2051,Coop,0,115,8,20,-12,-5,2048,Coop,0,115,8,20,-12,-5,61194
2048,Deflect,0,110,8,20,-12,-5,2051,Deflect,0,110,8,20,-12,-5,61195
2051,Coop,0,118,8,20,-12,-5,2048,Coop,0,118,8,20,-12,-5,61196
2048,Deflect,0,113,8,20,-12,-5,2051,Deflect,0,113,8,20,-12,-5,61197
2051,Coop,0,121,8,20,-12,-5,2048,Coop,0,121,8,20,-12,-5,61198
2048,Deflect,0,116,8,20,-12,-5,2051,Deflect,0,116,8,20,-12,-5,61199
2051,Coop,0,124,8,20,-12,-5,2048,Coop,0,124,8,20,-12,-5,61200
2048,Deflect,0,119,8,20,-12,-5,2051,Deflect,0,119,8,20,-12,-5,61201
2051,Coop,0,127,8,20,-12,-5,2048,Coop,0,127,8,20,-12,-5,61202
2048,Deflect,0,122,8,20,-12,-5,2051,Deflect,0,122,8,20,-12,-5,61203
2051,Coop,0,130,8,20,-12,-5,2048,Coop,0,130,8,20,-12,-5,61204
2048,Deflect,0,125,8,20,-12,-5,2051,Deflect,0,125,8,20,-12,-5,61205
2051,Coop,0,133,8,20,-12,-5,2048,Coop,0,133,8,20,-12,-5,61206
2048,Deflect,0,128,8,20,-12,-5,2051,Deflect,0,128,8,20,-12,-5,61207
2051,Coop,0,136,8,20,-12,-5,2048,Coop,0,136,8,20,-12,-5,61208
2048,Deflect,0,131,8,20,-12,-5,2051,Deflect,0,131,8,20,-12,-5,61209
2051,Coop,0,139,8,20,-12,-5,2048,Coop,0,139,8,20,-12,-5,61210
2048,Deflect,0,134,8,20,-12,-5,2051,Deflect,0,134,8,20,-12,-5,61211
2051,Coop,0,142,8,20,-12,-5,2048,Coop,0,142,8,20,-12,-5,61212
2048,Deflect,0,137,8,20,-12,-5,2051,Deflect,0,137,8,20,-12,-5,61213
2051,Coop,0,145,8,20,-12,-5,2048,Coop,0,145,8,20,-12,-5,61214
2048,Deflect,0,140,8,20,-12,-5,2051,Deflect,0,140,8,20,-12,-5,61215
2051,Coop,0,148,8,20,-12,-5,2048,Coop,0,148,8,20,-12,-5,61216
2048,Deflect,0,143,8,20,-12,-5,2051,Deflect,0,143,8,20,-12,-5,61217
2051,Coop,0,151,8,20,-12,-5,2048,Coop,0,151,8,20,-12,-5,61218
2048,Deflect,0,146,8,20,-12,-5,2051,Deflect,0,146,8,20,-12,-5,61219
2051,Coop,0,154,8,20,-12,-5,2048,Coop,0,154,8,20,-12,-5,61220
2048,Deflect,0,149,8,20,-12,-5,2051,Deflect,0,149,8,20,-12,-5,61221
2051,Coop,0,157,8,20,-12,-5,2048,Coop,0,157,8,20,-12,-5,61222
